Address,Area(In Sq.Feet),Road,Price(Float),Bedroom,Bathroom,Face,Floors,City
Gokarna,1060.975,12.0,13000000,2,1.0,East,1.0,Kathmandu
Panga,1779.7,12.0,35000000,14,4.0,South,3.5,Kathmandu
Bhaisepati,1403.225,12.0,38000000,4,1.0,North East,2.5,Lalitpur
Thecho,3182.925,12.0,85000000,6,5.0,South,2.5,Lalitpur
Gongabu,128.8,12.0,35000000,4,3.0,South,3.0,Kathmandu
Makalbari,1129.425,12.0,27500000,8,3.0,South East,3.0,Kathmandu
Dhapasi,3080.25,12.0,47000000,6,2.0,East,2.5,Kathmandu
Budhanilkantha,1711.25,12.0,15000000,2,2.0,South,1.0,Kathmandu
Tokha,2930.515625,12.0,19000000,4,3.0,East,2.0,Kathmandu
Thulo Bharyang,1454.5625,12.0,22700000,5,2.0,West,3.0,Kathmandu
Mandikatar,2139.0625,12.0,22500000,4,3.0,East,3.0,Kathmandu
Gokarneshwor,1112.3125,12.0,10500000,2,2.0,South East,1.5,Kathmandu
Baluwatar,2053.5,12.0,51500000,6,3.0,North East,3.0,Kathmandu
Chabahil,1369.0,12.0,37000000,5,4.0,South West,3.0,Kathmandu
Bijulibajar,2053.5,12.0,85000000,8,6.0,South East,4.0,Kathmandu
Imadol,1219.265625,12.0,28500000,6,5.0,East,3.0,Lalitpur
Banasthali,1369.0,12.0,31000000,4,4.0,South,2.5,Kathmandu
Maharajgunj,1711.25,12.0,41000000,12,4.0,West,4.5,Kathmandu
Maharajgunj,6160.5,12.0,169999992,7,4.0,East,3.0,Kathmandu
Chappal Karkhana,3764.75,12.0,100000000,10,7.0,South East,4.0,Kathmandu
Tikathali,600.0,12.0,22000000,6,4.0,South East,2.5,Lalitpur
Kapan,1026.75,12.0,14000000,2,1.0,South West,1.0,Kathmandu
Naxal,4107.0,12.0,65000000,6,5.0,East,2.0,Kathmandu
Imadol,1026.75,12.0,23000000,4,4.0,East,2.5,Lalitpur
Sitapaila,1437.45,12.0,30000000,6,3.0,North,2.5,Kathmandu
suryabinayak,1026.75,12.0,12000000,2,1.0,East,1.0,Bhaktapur
Budhanilkantha,3080.25,12.0,57500000,4,3.0,South,2.5,Kathmandu
Jorpati,1197.875,12.0,21000000,5,3.0,South West,3.0,Kathmandu
Sunderbasti,1796.8125,12.0,26500000,6,5.0,East,3.0,Kathmandu
Bishal Nagar,2738.0,12.0,48000000,6,3.0,North West,3.0,Kathmandu
Jharuwarashi,1647.078125,12.0,13000000,3,2.0,East,3.0,Lalitpur
Thali,752.95,12.0,16000000,5,3.0,East,2.5,Kathmandu
"Besigaun, Jorpati",1540.125,12.0,28500000,5,2.0,South,2.5,Kathmandu
Gongabu,1069.53,12.0,23750000,6,5.0,East,3.5,Kathmandu
Kalanki,1347.609375,12.0,45000000,6,4.0,North East,3.0,Kathmandu
Park Village Resort,3600.0,12.0,76000000,2,1.0,West,3.0,Kathmandu
Banasthali,3422.5,12.0,70000000,5,5.0,South,2.5,Kathmandu
Man B Marga,1197.875,12.0,23000000,3,4.0,East,2.5,Kathmandu
Imadol,1690.715,12.0,31500000,6,4.0,North,2.5,Lalitpur
Narephate,1454.5625,12.0,50000000,5,4.0,South,3.0,Kathmandu
Dhalmal Pul,1200.0,12.0,5000000,7,3.0,South west,2.5,Kathmandu
Pasikot,1411.78,12.0,31000000,5,2.0,South east,2.5,Kathmandu
Makalbari,1069.53125,12.0,18000000,5,3.0,East,2.5,Kathmandu
Dahachowk,1069.53,12.0,21500000,7,4.0,East,2.5,Kathmandu
Dhumbarahi,2395.75,12.0,45000000,8,5.0,East,3.5,Kathmandu
Phutung,1497.34,12.0,25000000,5,4.0,East,2.5,Kathmandu
Chokhel,1711.25,12.0,33500000,8,4.0,East,3.5,Lalitpur
Chardobato,1540.125,12.0,31000000,5,4.0,West,2.5,Bhaktapur
Gokarneshwor,1711.25,12.0,26000000,11,3.0,South East,3.0,Kathmandu
Dhungeadda,5476.0,12.0,72500000,5,6.0,North,2.5,Kathmandu
Jharuwarashi,1625.68,12.0,13000000,3,2.0,West,2.0,Lalitpur
Mandikataar,1048.14,12.0,22000000,5,5.0,East,2.5,Kathmandu
Chapali,1540.125,12.0,27000000,5,4.0,west,2.5,Kathmandu
Thulo Bharyang,787.175,12.0,6500000,3,1.0,East,1.0,Kathmandu
Nayabasti,1903.76,12.0,35500000,7,5.0,East,3.5,Kathmandu
Chokhel Sunakothi,1711.25,12.0,33500000,8,4.0,East,3.5,Lalitpur
Dhumbarahi,2738.0,12.0,60000000,8,5.0,East,3.0,Kathmandu
New Buspark,1112.3125,12.0,36000000,23,15.0,South,5.5,Kathmandu
Manamaiju,7443.9375,12.0,17000000,5,3.0,East,3.0,Kathmandu
Tokha,1112.3125,12.0,17800000,5,6.0,South,3.0,Kathmandu
Tikathali,1069.53125,12.0,23000000,6,3.0,South,3.0,Lalitpur
Sorhakhutte,4080.0,12.0,47500000,9,4.0,South,3.5,Kathmandu
Budhanilkantha,1095.2,12.0,29000000,6,5.0,North,2.5,Kathmandu
Dhapasi,2994.6875,12.0,40000000,8,4.0,South,3.0,Kathmandu
Budhanilkantha,1197.875,12.0,12800000,2,1.0,West,1.0,Kathmandu
Maharajgunj,5133.75,12.0,70000000,7,5.0,East,3.0,Kathmandu
Kapan,1129.425,12.0,24000000,6,5.0,West,2.5,Kathmandu
Aarubari,1369.0,12.0,35000000,5,3.0,East,2.5,Kathmandu
Tikathali,1197.875,12.0,23000000,6,4.0,South east,2.5,Lalitpur
Makalbari,1197.875,12.0,10500000,2,1.0,South West,1.0,Kathmandu
Tikathali,1197.875,12.0,22500000,6,3.0,East,3.0,Lalitpur
Basundhara,941.1875,12.0,19500000,3,3.0,South East,3.0,Kathmandu
Sukedhara,2310.1875,12.0,34500000,9,4.0,East,4.0,Kathmandu
Balagau,1711.25,12.0,17500000,4,2.0,East,2.0,Kathmandu
Deuwa Chowk,2738.0,12.0,55000000,8,4.0,East,2.5,Kathmandu
Thapathali,2121.95,12.0,44500000,6,3.0,South,3.0,Kathmandu
Bauthali,1403.225,12.0,25000000,6,5.0,West,2.5,Kathmandu
Imadol,1112.31,12.0,25000000,2,3.0,East,2.5,Lalitpur
Sitapaila,1369.0,12.0,35500000,6,4.0,East,3.0,Kathmandu
Budhanilkantha,1060.975,12.0,23500000,6,3.0,East,2.5,Kathmandu
Makalbari,752.95,12.0,17000000,6,5.0,North East,3.5,Kathmandu
Bansbari,1471.675,12.0,52000000,4,5.0,South,2.5,Kathmandu
Imadol,1411.78125,12.0,20000000,7,3.0,West,3.5,Lalitpur
Narayantar,1437.45,12.0,35000000,12,6.0,East,3.5,Kathmandu
Rudreshwor,4107.0,12.0,50000000,7,5.0,East,2.5,Kathmandu
Khusibu,4107.0,12.0,96000000,3,3.0,South,2.0,Kathmandu
Kapan,1540.125,12.0,25000000,7,5.0,North east,2.5,Kathmandu
Baluwatar,1796.8125,12.0,55000000,4,5.0,South East,3.0,Kathmandu
Mahalaxmisthan,444.925,12.0,130000000,7,4.0,South,2.5,Lalitpur
Thecho,1813.925,12.0,27500000,7,5.0,East,3.5,Lalitpur
Khumaltar,1048.14,12.0,21500000,3,3.0,South,2.5,Lalitpur
Basundhara,2139.0625,12.0,35000000,2,1.0,East,2.0,Kathmandu
Dhapasi,2395.75,12.0,39000000,7,4.0,East,2.5,Kathmandu
Syuchatar,23273.0,12.0,240000000,4,5.0,South East,2.5,Kathmandu
Kapan,1197.875,12.0,14000000,2,2.0,East,3.0,Kathmandu
Sanagaun,1069.53,12.0,19900000,8,4.0,East,2.5,Lalitpur
Gongabu,1369.0,12.0,35000000,5,3.0,South,3.5,Kathmandu
Imadol,1129.425,12.0,21500000,6,4.0,North,2.5,Lalitpur
Chandol,1711.25,12.0,36000000,7,3.0,North,2.5,Kathmandu
Bhaisepati,1026.75,12.0,21000000,5,5.0,South East,2.5,Lalitpur
Bafal,752.95,12.0,23500000,6,2.0,North,2.5,Kathmandu
Bhangal,1369.0,12.0,27000000,5,4.0,South east,2.5,Kathmandu
Tokha,1779.7,12.0,45000000,5,3.0,North East,2.5,Kathmandu
Bhangal,1095.2,12.0,30000000,6,4.0,North,2.5,Kathmandu
Bhimsenthan,1369.0,12.0,37500000,8,5.0,East,4.0,Kathmandu
Bhaisepati,1026.75,12.0,30000000,5,4.0,West,2.0,Lalitpur
Sipadol,1403.225,12.0,23000000,5,3.0,South West,2.5,Bhaktapur
Chapali,1711.24,12.0,25000000,4,4.0,North west,5.0,Kathmandu
Manamaiju,1437.45,12.0,25000000,6,3.0,South West,2.5,Kathmandu
Imadol,1026.75,12.0,16000000,5,3.0,East,2.5,Lalitpur
Imadol,1095.2,12.0,20000000,6,2.0,East,3.0,Lalitpur
Hattigauda,6845.0,12.0,100000000,6,4.0,East,2.5,Kathmandu
Hattigauda,2139.05,12.0,37500000,5,2.0,East,2.0,Kathmandu
Baghbazaar,1133.703125,12.0,35000000,9,5.0,North,5.0,Kathmandu
Bhangal,1796.8125,12.0,33500000,4,4.0,South,3.0,Kathmandu
Tarkeshwor,1561.515625,12.0,25000000,5,4.0,East,3.0,Kathmandu
Hattigauda,1369.0,12.0,28000000,5,3.0,East,2.5,Kathmandu
Hattiban,1882.375,12.0,29000000,4,4.0,North,2.5,Lalitpur
Banasthali,2806.45,12.0,42000000,8,4.0,South,2.5,Kathmandu
Chandol,1369.0,12.0,35000000,5,4.0,North,2.0,Kathmandu
Hattiban,605.0,12.0,8000000,2,1.0,South East,1.0,Lalitpur
Harisiddhi,2738.0,12.0,40000000,8,5.0,East,2.5,Lalitpur
Hanumanghat,1863.0,12.0,40000000,1,4.0,South,3.5,Kathmandu
Chappal Karkhana,1839.59375,12.0,40000000,7,4.0,North,3.5,Kathmandu
Gaurighat,1026.75,12.0,25000000,8,3.0,East,3.0,Kathmandu
Gongabu,2738.0,12.0,55000000,11,6.0,South West,3.5,Kathmandu
Gongabu,1411.78,12.0,35000000,8,5.0,South,3.5,Kathmandu
Hattiban,1369.0,12.0,21500000,6,4.0,East,2.5,Lalitpur
Gokarneshwor,2566.875,12.0,18000000,2,1.0,East,1.5,Kathmandu
Sukedhara,2053.5,12.0,40000000,5,3.0,South East,2.5,Kathmandu
Budhanilkantha,1454.5625,12.0,21800000,5,6.0,North East,3.0,Kathmandu
Jorpati,752.95,12.0,14300000,3,3.0,South,2.5,Kathmandu
Budhanilkantha,1540.125,12.0,25000000,7,5.0,North West,2.0,Kathmandu
Jorpati,2700.0,12.0,21500000,4,3.0,East,3.0,Kathmandu
Sitapaila,2806.45,12.0,49500000,8,7.0,South East,3.5,Kathmandu
Sukedhara,2010.71,12.0,35000000,9,4.0,north east east,3.5,Kathmandu
Golfutar,6502.75,12.0,125000000,6,4.0,South,2.5,Kathmandu
Lolang,3764.75,12.0,70000000,9,10.0,East,3.5,Kathmandu
Sukedhara,1369.0,12.0,49500000,1,3.0,North,2.0,Kathmandu
Sukedhara,1711.25,12.0,42500000,5,3.0,East,2.0,Kathmandu
Sukedhara,2395.75,12.0,70000000,4,3.0,East,2.5,Kathmandu
Sukhedhara,2395.75,12.0,70000000,4,3.0,East,2.5,Kathmandu
Swayambhu,1369.0,12.0,34000000,6,3.0,South,3.0,Kathmandu
Narayantar,1026.75,12.0,19000000,6,3.0,South East,3.0,Kathmandu
Dhumbarahi,2395.75,12.0,45000000,10,10.0,East,4.0,Kathmandu
Sukedhara,2395.75,12.0,45000000,5,3.0,East,2.5,Kathmandu
Aakasedhara,1711.25,12.0,31500000,6,5.0,South West,2.5,Kathmandu
Tokha,1112.3125,12.0,25000000,4,3.0,East,2.0,Kathmandu
Swayambhu,1860.984375,12.0,37000000,8,5.0,South,3.0,Kathmandu
Chabahil,1796.8125,12.0,18000000,2,1.0,South,1.0,Kathmandu
Anamnagar,1711.25,12.0,33000000,5,4.0,East,4.0,Kathmandu
Thulo bharyang,855.62,12.0,19900000,5,3.0,South West,2.5,Kathmandu
Sattalle,1796.81,12.0,25000000,4,2.0,North,2.5,Kathmandu
Dhapakhel height,898.4,12.0,13500000,4,3.0,South,2.5,Lalitpur
Sallaghari,1026.75,12.0,23500000,13,7.0,East,4.5,Bhaktapur
Dhapakhel,1197.87,12.0,25000000,4,3.0,North East,2.5,Lalitpur
Madhyapur thimi,1026.75,12.0,22000000,4,3.0,East,2.5,Bhaktapur
Dahachowk,3593.62,12.0,28000000,5,3.0,East,2.5,Kathmandu
Changu narayan road,4363.68,12.0,15000000,15,4.0,South East,3.5,Bhaktapur
Near peace point school,2951.9,12.0,28000000,6,4.0,South,2.5,Lalitpur
Bhangal,1112.31,12.0,21000000,6,6.0,West,2.5,Kathmandu
Pasikot,1711.25,12.0,35000000,7,6.0,South,3.0,Kathmandu
Baniyatar,1197.875,12.0,23750000,6,5.0,North West,3.0,Kathmandu
Lolang,787.175,12.0,15500000,6,3.0,West,3.5,Kathmandu
Dhapasi,1026.75,12.0,19500000,5,3.0,East,2.5,Kathmandu
Bafal,1369.0,12.0,36500000,5,4.0,South,2.5,Kathmandu
Imadol,1882.375,12.0,31000000,6,3.0,East,3.0,Lalitpur
Sanepa,1411.78,12.0,30000000,6,5.0,East,2.5,Lalitpur
Matatirtha,1026.75,12.0,12000000,2,2.0,North East,1.5,Kathmandu
Sundar Basti Katunje,2074.89,12.0,82000000,13,4.0,South East,3.0,Bhaktapur
Dhapakhel,855.625,12.0,17700000,3,4.0,West,2.5,Lalitpur
Imadol,1026.75,12.0,19500000,5,4.0,East,2.5,Lalitpur
Tikathali Pawan Prakriti Height,1882.37,12.0,26000000,5,3.0,West,2.5,Lalitpur
Jarankhu,1369.0,12.0,25000000,5,3.0,South East,2.5,Kathmandu
Paiyatar,1437.45,12.0,22000000,6,4.0,East,2.5,Kathmandu
Sitapaila,1090.92,12.0,27500000,4,4.0,North east,2.5,Kathmandu
Bhaisepati,2481.3125,12.0,37500000,8,6.0,North West,4.0,Lalitpur
Deuwa chowk,2738.0,12.0,52500000,8,4.0,East,3.0,Kathmandu
Pasikot,1197.875,12.0,17500000,6,2.0,North,3.0,Kathmandu
Budhanilkantha,2845.0,12.0,35000000,5,4.0,East,3.0,Kathmandu
Tikathali,1197.875,12.0,26000000,7,3.0,East,2.5,Lalitpur
kathmandu ward 4 office,1437.45,12.0,33000000,3,4.0,North,2.5,Kathmandu
Sankhamul,1240.65625,12.0,35000000,7,3.0,West,2.5,Kathmandu
Balwakhani,1440.0,12.0,27000000,3,3.0,East,2.5,Kathmandu
Baluwatar,1745.475,12.0,55000000,4,5.0,South east,2.5,Kathmandu
Baluwatar,2395.75,12.0,41000000,11,4.0,South East,4.0,Kathmandu
Dhalmal,1060.975,12.0,22000000,5,3.0,East,2.5,Kathmandu
Kapan,1095.2,12.0,39000000,6,3.0,East,3.5,Kathmandu
Jarankhu,5476.0,12.0,65000000,5,3.0,West,2.5,Kathmandu
Bafal,2887.73,12.0,58000000,6,5.0,East,2.5,Kathmandu
Bhaisepati,1625.6875,12.0,31500000,4,4.0,South,3.0,Lalitpur
Bafal,1026.75,12.0,24500000,4,3.0,east,2.5,Kathmandu
Sipadol,1561.51,12.0,23000000,5,3.0,South west,2.5,Bhaktapur
Paiyuntar,1471.675,12.0,30000000,5,4.0,West,2.5,Kathmandu
Bhaisepati,2738.0,12.0,60000000,6,4.0,North,2.5,Lalitpur
Imadol,1026.75,12.0,21000000,5,4.0,West,2.5,Lalitpur
Imadol,2395.75,12.5,36000000,6,2.0,North East,2.5,Lalitpur
Balkhu,2053.5,12.5,42500000,8,3.0,South West,3.0,Kathmandu
Nakkhu,1745.475,12.5,38000000,4,4.0,West,2.5,Lalitpur
Tathali,1437.45,12.5,19000000,8,3.0,North West,3.0,Bhaktapur
Baluwatar,2053.5,12.5,71500000,8,7.0,East,3.5,Kathmandu
Budhanilkantha,2806.45,12.5,45000000,6,3.0,South East,2.5,Kathmandu
Mandikhatar,9240.75,13.0,6500000,6,5.0,South,2.5,Kathmandu
Deuwa chowk,1471.675,13.0,45000000,5,4.0,South,2.5,Kathmandu
Hattigaunda,1711.25,13.0,45000000,6,4.0,North,3.0,Kathmandu
Nakkhu,1711.25,13.0,39500000,4,4.0,East,2.5,Lalitpur
Budhanilkantha,2738.0,13.0,53500000,13,5.0,West,2.5,Kathmandu
Charkhal,8214.0,13.0,12500000,8,6.0,South East,3.0,Kathmandu
Jarankhu,27380.0,13.0,35000000,7,4.0,West,3.5,Kathmandu
Chapali,1129.425,13.0,28000000,5,3.0,North East,3.0,Kathmandu
Kadaghari,1095.2,13.0,27000000,6,3.0,North,2.5,Kathmandu
Saraswotinagar,2395.75,13.0,40000000,4,4.0,North East,2.5,Kathmandu
Satdobato,1026.75,13.0,26000000,4,3.0,East,2.5,Lalitpur
Rai Chowk,21904.0,13.0,30000000,6,3.0,South,3.0,Kathmandu
Purano Naikap,2806.45,13.0,48000000,7,5.0,North East,3.0,Kathmandu
Besigaun,1060.975,13.0,27000000,6,3.0,South East,2.5,Kathmandu
Sundarbasti,1711.25,13.0,39000000,5,3.0,North East,2.5,Kathmandu
Battisputali,3422.5,13.0,95000000,5,4.0,South,2.5,Kathmandu
Hattiban,1403.225,13.0,28700000,6,6.0,South,3.0,Lalitpur
Syuchatar,1471.675,13.0,19500000,4,3.0,East,2.5,Kathmandu
Bafal,1095.2,13.0,37000000,4,3.0,North East,2.5,Kathmandu
Sai Baba chowk,1369.0,13.0,25000000,6,3.0,East,2.5,Kathmandu
Bhaisepati,1129.425,13.0,38000000,4,4.0,East,3.0,Lalitpur
Bhaisepati,1711.25,13.0,33500000,5,3.0,East,2.5,Lalitpur
Bafal,3148.7,13.0,70000000,3,4.0,East,2.5,Kathmandu
Satdobato,3422.5,13.0,70000000,13,9.0,South,4.5,Lalitpur
Imadol,1026.75,13.0,23500000,5,3.0,East,2.5,Lalitpur
Gwarko,1060.975,13.0,27000000,5,4.0,South,3.0,Lalitpur
Lokanthali,1026.75,13.0,28000000,8,4.0,North,3.5,Bhaktapur
Dhapakhel,1129.425,13.0,27000000,6,4.0,East,2.5,Lalitpur
Hattigaunda,2121.95,13.0,36500000,4,3.0,North East,3.0,Kathmandu
Banasthali,855.625,13.0,23500000,3,3.0,East,4.0,Kathmandu
Sallaghari,1369.0,13.0,25000000,6,3.0,North West,2.5,Bhaktapur
Dhungedhara,1369.0,13.0,27500000,5,6.0,South,2.5,Kathmandu
Rudreshwor,1745.475,13.0,49000000,5,6.0,East,2.5,Kathmandu
Wasik,1779.7,13.0,41000000,5,4.0,South West,3.0,Kathmandu
Gaushala,1369.0,13.0,32500000,11,2.0,East,2.5,Kathmandu
Imadol,1060.975,13.0,23500000,3,4.0,North,2.5,Lalitpur
Imadol,1129.425,13.0,26000000,5,3.0,North East,2.5,Lalitpur
Bansbari,2395.75,13.0,50000000,4,4.0,South,2.5,Kathmandu
Sanagaun,1437.45,13.0,33000000,8,6.0,South East,2.5,Lalitpur
Pasikot,2053.5,13.0,33000000,6,4.0,South East,2.5,Kathmandu
Kusunti,1882.375,13.0,40500000,4,3.0,North East,2.0,Lalitpur
Budhanilkantha,6160.5,13.0,115000000,5,4.0,South West,2.5,Kathmandu
Gorkarneshwor,1026.75,13.0,13000000,2,1.0,East,1.0,Kathmandu
Tripureshwor,3422.5,13.0,80000000,6,5.0,West,3.0,Kathmandu
Sitapaila,1711.25,13.0,31500000,5,5.0,East,2.5,Kathmandu
Rudreshwor,2053.5,13.0,59500000,5,5.0,South,3.0,Kathmandu
Megha City,1095.2,13.0,29900000,5,5.0,South East,3.5,Kathmandu
Dhaneshwor,1026.75,13.0,13500000,2,1.0,East,1.0,Kathmandu
Dhapasi,1369.0,13.0,37500000,6,4.0,East,3.0,Kathmandu
Dhapasi,3422.5,13.0,58000000,4,2.0,East,2.5,Kathmandu
Ganesh Chowk,1779.7,13.0,45000000,5,4.0,South West,2.5,Kathmandu
Godamchaur,4107.0,13.0,29000000,14,6.0,South,2.5,Lalitpur
Imadol,1369.0,13.0,42500000,6,4.0,South,2.5,Lalitpur
Imadol,15743.5,13.0,21000000,4,4.0,North,2.5,Lalitpur
Imadol,1060.975,13.0,23500000,4,5.0,North,2.5,Lalitpur
Kageshwori Manohara,1026.75,13.0,25500000,5,3.0,West,3.0,Kathmandu
Nakkhu,1711.25,13.0,39000000,4,4.0,East,2.5,Lalitpur
Kapan,1711.25,13.0,36000000,6,5.0,North,3.5,Kathmandu
Nakkhu,1779.7,13.0,53000000,4,4.0,South West,2.5,Lalitpur
Bhaisepati,2806.45,13.0,150000000,6,7.0,South,2.5,Lalitpur
Boharatar,3422.5,13.0,48500000,4,4.0,West,2.0,Kathmandu
Shankhamul,1095.2,13.0,45000000,8,8.0,South,2.5,Kathmandu
Imadol,1095.2,13.0,26500000,5,4.0,North,2.5,Lalitpur
Dhapasi,1369.0,13.0,29500000,3,3.0,South,2.5,Kathmandu
Bhaisepati,2053.5,13.0,50000000,4,5.0,South,2.5,Lalitpur
Thulo Bharyang,1026.75,13.0,30000000,4,3.0,West,2.5,Kathmandu
Chappal karkhana,2840.675,13.0,75000000,5,6.0,South,2.5,Kathmandu
Baluwakhani,1745.475,13.0,34500000,7,5.0,East,2.5,Kathmandu
Kaushaltar,6160.5,13.0,10000000,5,7.0,South,2.5,Bhaktapur
Imadol,1060.975,13.0,21800000,4,4.0,East,2.5,Lalitpur
Imadol,1129.425,13.0,25000000,5,4.0,South West,2.5,Lalitpur
Thulo Bharyang,6845.0,13.0,100000000,5,3.0,North,2.5,Kathmandu
Changathali,1471.675,13.0,28500000,4,2.0,South,2.0,Lalitpur
Maitidevi,4791.5,13.0,100000000,8,6.0,South,3.5,Kathmandu
Rudreshwor,10952.0,13.0,145000000,5,5.0,South East,2.5,Kathmandu
Narayanthan,3764.75,13.0,105000000,5,6.0,East,2.5,Kathmandu
Makalbari,1026.75,13.0,19500000,5,3.0,West,2.5,Kathmandu
Kadaghari,1026.75,13.0,26000000,5,3.0,South West,2.5,Kathmandu
Bafal,1437.45,13.0,27500000,4,4.0,South,2.5,Kathmandu
Soltidobato,2400.0,13.0,30000000,3,3.0,South,2.5,Kathmandu
Imadol,787.175,13.0,19500000,4,3.0,East,2.5,Lalitpur
Budhanilkantha,2840.675,13.0,51500000,5,3.0,South West,2.0,Kathmandu
Kupandole,2464.2,13.0,67500000,6,4.0,North East,2.5,Lalitpur
Rudreshwor,1745.475,13.0,50000000,4,5.0,South,2.5,Kathmandu
Imadol,1026.75,13.0,25500000,4,4.0,West,2.5,Lalitpur
Chapali,2053.5,13.0,61500000,5,3.0,South,2.5,Kathmandu
Bafal,1711.25,13.0,36500000,5,4.0,South,3.0,Kathmandu
Bansbari,2121.95,13.0,55000000,6,5.0,South East,2.5,Kathmandu
Matatirtha,1369.0,13.0,18000000,3,2.0,North East,1.0,Kathmandu
Ganesh Chowk,1711.25,13.0,35000000,5,5.0,South,2.5,Kathmandu
Katunje,2738.0,13.0,35000000,5,4.0,North,2.5,Bhaktapur
Lubhu,752.95,13.0,17000000,5,2.0,North East,2.5,Lalitpur
Dhapasi,3422.5,13.0,58000000,4,3.0,East,2.0,Kathmandu
Narayanthan,2464.2,13.0,55000000,4,5.0,North East,2.5,Kathmandu
Narayanthan,1369.0,13.0,35000000,5,5.0,North East,2.5,Kathmandu
Thankot,1060.975,13.0,16500000,5,1.0,West,2.0,Kathmandu
Kapan,1813.925,13.0,32500000,6,3.0,South East,3.0,Kathmandu
Bhaisepati,1129.425,13.0,32500000,4,4.0,South East,2.5,Lalitpur
Imadol,1129.425,13.0,28500000,4,4.0,North West,2.5,Lalitpur
Imadol,1026.75,13.0,27500000,5,3.0,South East,3.0,Lalitpur
Tahachal,3490.95,13.0,190000000,10,8.0,South West,5.0,Kathmandu
Sitapaila,2395.75,13.0,37500000,4,3.0,South,2.5,Kathmandu
Imadol,4107.0,13.0,65000000,7,3.0,South,3.0,Lalitpur
Dhapasi,2395.75,13.0,44000000,5,4.0,North East,2.5,Kathmandu
Pepsicola,1026.75,13.0,16000000,3,3.0,West,3.0,Kathmandu
Budhanilkantha,1471.675,13.0,40000000,5,4.0,West,2.5,Kathmandu
Bhaisepati,1369.0,13.0,41000000,5,5.0,South West,2.0,Lalitpur
Kamalbinayak,1437.45,13.0,39900000,9,6.0,North,4.5,Bhaktapur
Imadol,1060.975,13.0,26000000,4,5.0,North,2.0,Lalitpur
Syuchatar,1095.2,13.0,25000000,6,2.0,South,2.5,Kathmandu
Sitapaila,1369.0,13.0,31000000,5,4.0,South East,2.5,Kathmandu
Tikathali,1095.2,13.0,29500000,5,5.0,East,2.0,Lalitpur
Khusibu,752.95,13.0,22500000,6,3.0,South,2.5,Kathmandu
Hattiban,1112.3125,13.0,29000000,6,4.0,West,2.5,Lalitpur
Dhapakhel,1625.6875,13.0,25000000,4,3.0,South,3.0,Lalitpur
Kageshwori Manohara,1369.0,13.0,26500000,6,3.0,East,3.0,Kathmandu
Hattigauda,2053.5,13.0,45000000,5,5.0,North,3.0,Kathmandu
Tokha,1026.75,13.0,21000000,6,6.0,East,3.0,Kathmandu
Budhanilkantha,1796.8125,13.0,32000000,5,4.0,South East,3.0,Kathmandu
Sitapaila,1283.4375,13.0,20500000,4,4.0,East,2.5,Kathmandu
Dhapasi,1112.3125,13.0,17000000,4,3.0,East,3.0,Kathmandu
Bhangal,1369.0,13.0,25000000,4,3.0,East,3.0,Kathmandu
Bhaisepati,1711.25,13.0,44000000,1,1.0,South east,2.5,Lalitpur
Bhaisepati,1411.78,13.0,28500000,6,4.0,East,2.5,Lalitpur
Basundhara,1882.375,13.0,35000000,2,1.0,East,2.5,Kathmandu
Basundhara,1711.25,13.0,31000000,5,3.0,South west,2.5,Kathmandu
BASUNDHARA,1369.0,13.0,25000000,6,4.0,South east,3.5,Kathmandu
Bansbari,6845.0,13.0,110000000,6,5.0,East,2.5,Kathmandu
Baniyatar,1129.425,13.0,23500000,7,5.0,East,3.0,Kathmandu
bhangal,1197.875,13.0,16500000,5,4.0,South west,2.5,Kathmandu
Banasthali,1497.34,13.0,45000000,7,5.0,North,3.0,Kathmandu
Baluwatar,1745.475,13.0,55000000,6,5.0,North east,2.5,Kathmandu
Balkumari,1026.75,13.0,22500000,7,1.0,West,3.5,Lalitpur
Balkot 2,3422.5,13.0,75000000,6,5.0,East,3.5,Bhaktapur
Balkot,1582.9,13.0,28000000,8,5.0,East,4.0,Bhaktapur
Balkot,1155.09375,13.0,27500000,4,4.0,West,2.5,Bhaktapur
Balaju,1540.125,13.0,26000000,4,3.0,East,2.5,Kathmandu
Aryal-Gaun,1369.0,13.0,27500000,3,5.0,South,3.0,Kathmandu
Banasthali,1369.0,13.0,27500000,5,5.0,South,2.5,Kathmandu
Anamnagar,3935.875,13.0,95500000,7,4.0,East,3.0,Kathmandu
bhangal,1069.53,13.0,22000000,7,5.0,East,2.5,Kathmandu
Budhanilkantha,3165.8125,13.0,49000000,5,5.0,West,3.0,Kathmandu
Kapan,1197.875,13.0,18200000,5,5.0,East,3.0,Kathmandu
Hattigauda,2139.0625,13.0,33500000,5,5.0,North West,3.0,Kathmandu
Budhanilkantha,2053.5,13.0,36000000,5,5.0,East,3.0,Kathmandu
Tikathali,1026.75,13.0,11000000,2,1.0,East,1.5,Lalitpur
Samakhusi,3764.75,13.0,61000000,12,8.0,East,4.0,Kathmandu
Budhanilkantha,1112.3125,13.0,18000000,5,5.0,North,3.0,Kathmandu
Shantinagar,2652.4375,13.0,43500000,7,3.0,West,3.0,Kathmandu
Baluwatar,2053.5,13.0,60000000,5,5.0,South,2.5,Kathmandu
Tinthana,1026.75,13.0,16000000,5,3.0,East,2.5,Kathmandu
Chapali,1711.25,13.0,24000000,7,8.0,South East,4.0,Kathmandu
Satungal,1711.25,13.0,26000000,11,9.0,North,3.0,Kathmandu
