City,Address,Land,Road,Price,Bedroom,Bathroom,Face,Floors
Lalitpur,Imadol,1283.43,14,19000000,4,3,East,2.5
Kathmandu,Boudha,1197.87,20,19000000,,,,
Lalitpur,Imadol,1026.75,13,19000000,4,3,South,2.5
Lalitpur,Lubhu,1000,13,19000000,5,3,East,2.5
Kathmandu,Ason,171.12,12,19000000,,,,
Kathmandu,Thankot,3080.25,10,18500000,4,1,West,1
Bhaktapur,Ganesh chowk,1437.45,8,18500000,1,1,East,2.5
Lalitpur,Sanogaun,1197.875,13,18500000,5,3,East,2.5
Lalitpur,Imadol,1026.75,13,18500000,4,3,South,2.5
Kathmandu,Kapan,1796.8,16,18000000,2,4,North East,1
Kathmandu,Bhatkepati,1197.87,13,18000000,6,3,South,2.5
Kathmandu,Imadol,1026.75,13,18000000,6,3,North East,2.5
Lalitpur,Changathali,1026.75,13,18000000,4,3,North West,2.5
Kathmandu,Balaju,1711.25,12,17500000,4,2,East,2
Kathmandu,Jorpati,1500,,17500000,2,1,East,1.5
Kathmandu,Sitapaila,1112.3125,16,17500000,5,4,North,2.5
Kathmandu,Gothatar,1026.75,13,17500000,4,3,East,2.5
Kathmandu,Sukedhara,1026.75,13,17200000,,,South West,2.5
Kathmandu,Kadaghari,1026.75,10,17200000,5,1,South,1
Kathmandu,Checkpost,1711.25,,17000000,7,2,East,2
Lalitpur,Dhapaheight,1369,12,17000000,,,,
Kathmandu,Sitapaila,1112.31,15,17000000,4,2,East,2.5
Lalitpur,Imadol,1026.75,10,17000000,5,4,East,2.5
Kathmandu,Sanobharyang,855.62,16,17000000,4,2,West,2.5
Kathmandu,Dhungeadda,855.62,16,17000000,6,3,East,1
Kathmandu,Gurjudhara,1197.87,16,16500000,4,3,East,2.5
Lalitpur,Imadol,1090.92,13,16500000,2,1,East,1.5
Kathmandu,Dhalpa,1000,13,16500000,8,3,South,3
Kathmandu,Teku,3764.75,13,16000000,1,1,North,4
Kathmandu,Sitapaila,1200,8,16000000,3,2,North,2
Lalitpur,Harisiddhi,1197.875,13,16000000,4,3,East,2.5
Kathmandu,Manamaiju,1197.87,10,16000000,5,2,East,2.5
Kathmandu,Chunikhel,1060.975,13,16000000,2,1,North,2
Lalitpur,Imadol,1048.14,13,16000000,2,2,East,1
Kathmandu,Sukedhara,1026.75,20,16000000,6,3,East,2.5
Lalitpur,Imadol,1026.75,12,16000000,5,3,East,2.5
Lalitpur,Hattiban,1026.75,20,16000000,1,1,East,3
Bhaktapur,Changunarayan,1026.75,14,16000000,2,3,East,3
Kathmandu,Mulpani,1000,10,16000000,4,3,East,3.5
Kathmandu,Sitapaila,970.9047,,16000000,2,2,West,2
Bhaktapur,Doleswor,700,6,16000000,6,3,East,3
Lalitpur,Imadol,500,13,16000000,2,2,South West,1.5
Bhaktapur,Duwakot,2053.5,20,15500000,4,2,East,1.5
Kathmandu,Tahachal,1304.82,8,15500000,1,1,East,2
Lalitpur,Tikathali,1200,13,15500000,2,1,South,1
Kathmandu,Sitapaila,855.625,13,15500000,5,3,South,3
Kathmandu,Bhatkepati,1882.375,,15000000,,,,
Kathmandu,Ganesh chowk,1540.12,6,15000000,4,2,East,2
Lalitpur,Imadol,1069.53,4,15000000,4,4,South,2
Bhaktapur,Dunchepakha,1060.975,3,15000000,5,3,North,3
Bhaktapur,Gundu,317.9,20,15000000,1,1,West,1
Kathmandu,Sitapaila,1095.2,10,14500000,3,3,East,2.5
Kathmandu,Thankot,1000,6,14500000,5,3,North West,3.5
Kathmandu,Jorpati,752.95,10,14300000,3,3,South,2.5
Kathmandu,Kapan,1197.875,12,14000000,2,2,East,3
Lalitpur,Banglamukhi,1176.48,5,14000000,3,2,West,5
Kathmandu,Kapan,1026.75,12,14000000,2,1,,1
Kathmandu,Kapan,1200,13,13900000,2,1,North East,1
Lalitpur,Imadol,1026.75,13,13700000,2,1,East,1
Kathmandu,Panga,1026.75,10,13500000,4,3,South,3.5
Lalitpur,Jharuwarashi,1647.07,12,13000000,3,2,West,2
Kathmandu,Thankot,1026.75,24,13000000,5,3,,2.5
Kathmandu,Gokarna,1026.75,13,13000000,2,1,East,1
Lalitpur,Tikathali,962.57,13,13000000,2,1,South,1
Kathmandu,Sesmati,1026.75,10,12700000,3,1,North,1
Lalitpur,Badikhel,1711.25,16,12500000,3,1,West,1
Lalitpur,Badikhel,1711.25,16,12500000,3,1,West,1
Bhaktapur,Darjeeling Height,1112.31,13,12500000,2,1,East,1.5
Kathmandu,Kharibot,1026.75,13,12500000,2,1,South,1
Lalitpur,Imadol,941.1875,20,12500000,2,1,East,1
Kathmandu,Townplanning,855.625,8,12500000,2,1,South,1
Kathmandu,Kapan,855.625,8,12500000,4,3,,
Lalitpur,Tikathali,1026.75,12,12200000,2,1,South,1
Kathmandu,Tarkeshwor,1518.73,3,12000000,1,1,West,1
Lalitpur,Tikathali,1026.75,13,12000000,2,2,East,1
Bhaktapur,Suryabinayak,1026.75,12,12000000,2,1,East,1
Kathmandu,Makalbari,1368,,11500000,2,2,East,2.5
Lalitpur,Tikathali,855.62,12,11500000,3,1,East,1.5
Lalitpur,Tikathali,1026.75,13,11200000,2,1,East,1
Lalitpur,Bhaisepati,1026.75,40,11000000,3,2,South East,2
Kathmandu,Balambu,855.62,10,11000000,4,3,East,2
Lalitpur,Tikathali,877.01,13,10900000,2,1,North,1
Kathmandu,Thali,1026.75,13,10500000,3,1,,2
Lalitpur,Gahate,1026.75,20,10500000,1,1,North East,1
Lalitpur,Dadathok,983.96,13,10500000,3,2,West,3
Kathmandu,Thankot,1219.26,13,9500000,2,1,East,1
Kathmandu,Thali,900,10,9100000,3,2,West,2
Bhaktapur,Duwakot,1060.975,10,9000000,3,2,North,1.5
Kathmandu,Jhoor,427.81,,8500000,1,1,East,5
Lalitpur,Dadathok,1026.75,13,7500000,2,1,North,1
Bhaktapur,Bhaktapur,513.375,,4000000,2,1,East,3
Kathmandu,Chapali,11978.75,,,1,1,South,1
Kathmandu,Greenland,1411.78,13,,5,3,East,3.5
Kathmandu,Gongabu,1048.14,13,,5,3,East,2.5
Kathmandu,Baluwatar,1026.75,20,,3,4,East,3.5
Lalitpur,Sanepa,900,13,,2,2,South East,1
