title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
Brand new house for sale at Budhanilkantha | 9840872228,Kathmandu,Budhanilkantha,Pasikot,1882.37,14,34000000,5,5,2075,3-,East,https://www.gharghaderi.com/house/859-Brand-new-house-for-sale-at-Budhanilkantha/
House for sale at Pepsicola khahare | 9848571067,Kathmandu,Kathmandu,Pepsicola,2053.5,14,34000000,5,4,,3-,,https://www.gharghaderi.com/house/760-House-for-sale-at-Pepsicola-khahare/
Hattigauda sasto ghar on sale | 9840872228,Kathmandu,Budhanilkantha,hattigauda,2395.75,13,34000000,6,4,2067,3-,South west,https://www.gharghaderi.com/house/1215-Hattigauda-sasto-ghar-on-sale/
Samakhusi small bungalow | 9840872228,Kathmandu,Kathmandu,Samakhusi,1026.75,13,34500000,4,4,2076,3-,East,https://www.gharghaderi.com/house/1566-Samakhusi-small-bungalow/
Sweet family space at ganeschok | 9840872228 sold,Kathmandu,Budhanilkantha,Hattigauda,1711.25,13,34500000,5,4,2076,3-,South,https://www.gharghaderi.com/house/1555-Sweet-family-space-at-ganeschok/
KCL Colony : Budhanilkantha | 9851155216,Kathmandu,Budhanilkantha,Taulung,2566.875,20,34500000,4,4,2076,3-,East,https://www.gharghaderi.com/house/1449-KCL-Colony-:-Budhanilkantha/
New house for sale in kathmandu Nayabazar | 9803338050,Kathmandu,Kathmandu,Nayabazar geetanjali chowk,884.04,20,35000000,3,4,2074,3-,East,https://www.gharghaderi.com/house/2379-New-house-for-sale-in-kathmandu-Nayabazar/
"4BHK Modern Home Available For SALE At Chappal Karkh AANA, Kathmandu | 9802601313",Kathmandu,Kathmandu,Chappal karkh AANA,1026.75,16,35000000,4,4,2076,3-,South,https://www.gharghaderi.com/house/2796-4BHK-Modern-Home-Available-For-SALE-At-Chappal-Karkh AANA-Kathmandu/
Bungalow for sale in Sukedhara Budhanilkantha | 9840872228,Kathmandu,Budhanilkantha,Sukedhara,1369,13,35000000,6,4,2075,3-,East,https://www.gharghaderi.com/house/732-Bungalow-for-sale-in-Sukedhara-Budhanilkantha/
House for Sale near to Samakhusi chowk | 9841318075,Kathmandu,Tokha,Gongabu,1411.78,12,35000000,8,5,2070,3-,South,https://www.gharghaderi.com/house/1466-House-for-Sale-near-to-Samakhusi-chowk/
Lockdown Offer House For Sale at Cheap Rate | 9851177007,Kathmandu,Tokha,Baniyatar,1540.125,20,35000000,8,5,2076,3-,East,https://www.gharghaderi.com/house/1931-Lockdown-Offer-House-For-Sale-at-Cheap-Rate/
Gongaboo commercial | 9840872228,Kathmandu,Kathmandu,Gongaboo,1711.25,16,35000000,8,5,2071,3-,East,https://www.gharghaderi.com/house/1696-Gongaboo-commercial/
Bungalow on sale at Bhangal Budhanilkantha | 9840872228,Kathmandu,Budhanilkantha,Bhangal,1711.25,14,35000000,3,3,2076,3-,East,https://www.gharghaderi.com/house/1235-Bungalow-on-sale-at-Bhangal-Budhanilkantha/
"House for Sale in Bashundhara, Kathmandu | 9841918568",Kathmandu,Kathmandu,Basundhara,1882.375,13,35000000,2,1,2071,3-,East,https://www.gharghaderi.com/house/2136-House-for-Sale-in-Bashundhara-Kathmandu/
Well condition house for sale in Sukedhara Chakrapath | 9841071798,Kathmandu,Kathmandu,Sukedhara,1946.54,12,35000000,9,4,2076,3-,north east east,https://www.gharghaderi.com/house/1021-Well-condition-house-for-sale-in-Sukedhara-Chakrapath/
House for sale in Budhanilkantha Kathmandu | 9864337460,Kathmandu,Budhanilkantha,Bhangal,2053.5,13,35000000,6,4,,3-,west,https://www.gharghaderi.com/house/543-House-for-sale-in-Budhanilkantha-Kathmandu/
New house sale in sitapaila. | 9849001447,Kathmandu,Nagarjun,Sitapaila,1500,10,35500000,6,4,2076,3-,East,https://www.gharghaderi.com/house/2348-New-house-sale-in-sitapaila./
3.5 story new house for sale in Nayabasti 6 Gokarneshwor | 9851060663,Kathmandu,Gokarneshwor,Nayabasti,1839.59,12,35500000,7,5,2075,3-,East,https://www.gharghaderi.com/house/797-3.5-story-new-house-for-sale-in-Nayabasti-6-Gokarneshwor/
independent double story semi apart house | 9840872228,Kathmandu,Budhanilkantha,Pasikot height,1711.25,13,36000000,6,5,2076,3-,North east,https://www.gharghaderi.com/house/1785-independent-double-story-semi-apart-house/
Bungalow on sale at Deuba Chowk | 9840872228,Kathmandu,Budhanilkantha,Deuba Chowk,2053.5,16,36000000,5,5,2072,3-,East,https://www.gharghaderi.com/house/1146-Bungalow-on-sale-at-Deuba-Chowk/
House near Bansbari Neuro Hospital | 9840872228,Kathmandu,Budhanilkantha,Bansbari,2053.5,10,36000000,6,5,2076,3-,South east,https://www.gharghaderi.com/house/1114-House-near-Bansbari-Neuro-Hospital/
House for sale in Golfutar Height Budhanilkantha | 9840872228,Kathmandu,Budhanilkantha,Golfutar,1369,20,36500000,5,3,2076,3-,East,https://www.gharghaderi.com/house/934-House-for-sale-in-Golfutar-Height-Budhanilkantha/
Modern Bungalow for sale in Deuba-chowk Budhanilkantha | 9818066455,Kathmandu,Budhanilkantha,Deuba-chowk,2395.75,13,36500000,3,3,2075,3-,East,https://www.gharghaderi.com/house/818-Modern-Bungalow-for-sale-in-Deuba-chowk-Budhanilkantha/
Urgent House For Sale | 9808489911,Kathmandu,Budhanilkantha,Kapan,2087.725,20,37000000,7,4,2071,3-,East,https://www.gharghaderi.com/house/1591-Urgent-House-For-Sale/
Har Har Mahadev Beautiful House Sale | 9843400954,Kathmandu,Kageshwori-Manohara,har har mahadev,,10,37000000,8,4,2075,3-,East,https://www.gharghaderi.com/house/911-Har-Har-Mahadev-Beautiful-House-Sale/
House For Sale At Bhimsenthan | 9861666972,Kathmandu,Kathmandu,Bhimsenthan,1369,12,37500000,8,5,2074,3-,East,https://www.gharghaderi.com/house/1434-House-For-Sale-At-Bhimsenthan/
Brand New 5  AANA 2 Dam Family Bungalow On Sale At Budhanilkantha | 9847369375,Kathmandu,Budhanilkantha,Height,1754.03,14,37500000,6,1,2076,3-,North east,https://www.gharghaderi.com/house/1806-Brand-New-5- AANA-2-Dam-Family-Bungalow-On-Sale-At-Budhanilkantha/
"Modern house for sale in Hattigauda, Budhanilkantha | 9840872228",Kathmandu,Budhanilkantha,Hattigauda,1818.2,12,37500000,5,2,2074,3-,East,https://www.gharghaderi.com/house/755-Modern-house-for-sale-in-Hattigauda-Budhanilkantha/
Very new Residential house at Budanilkantha on Sale | 9849028039,Kathmandu,Budhanilkantha,"Deuba chowk, chapali",1882.375,13,37500000,5,3,2076,3-,South,https://www.gharghaderi.com/house/1880-Very-new-Residential-house-at-Budanilkantha-on-Sale/
House for sale in ring road | 9851002500,Kathmandu,Nagarjun,Ring road,2200,,37500000,4,2,2076,3-,South,https://www.gharghaderi.com/house/2400-House-for-sale-in-ring-road/
"4.5 Storey House On Sale. Nepaltar, Kathmandu (Negotiable) | 9765554197",Kathmandu,Kathmandu,tarksewor,1369,13,38000000,12,5,2073,3-,North east,https://www.gharghaderi.com/house/3372-4.5-Storey-House-On-Sale.-Nepaltar-Kathmandu-(Negotiable)/
Maharajgunj House for Sale | 9803867323,Kathmandu,Kathmandu,Maharajgunj,1711.25,12,38000000,8,4,2076,3-,West,https://www.gharghaderi.com/house/946-Maharajgunj-House-for-Sale/
6.2  AANA House On Sale At Budhanilkantha Height | 9847369375,Kathmandu,Budhanilkantha,Height,2121.95,16,38000000,4,4,2074,3-,South east,https://www.gharghaderi.com/house/1798-6.2- AANA-House-On-Sale-At-Budhanilkantha-Height/
Modern house for sale in Greenland 8 Tokha | 9860909044,Kathmandu,Tokha,Greenland,2502.7,16,38000000,7,5,2069,3-,South,https://www.gharghaderi.com/house/832-Modern-house-for-sale-in-Greenland-8-Tokha/
house for sale in Matatirtha | 9841363167,Kathmandu,Chandragiri,Matatirtha,4791.5,,38000000,8,5,2067,3-,North east,https://www.gharghaderi.com/house/2292-house-for-sale-in-Matatirtha/
house for sale in Budhanilkantha Nayabasti | 9841904701,Kathmandu,Budhanilkantha,Nayabasti,1625.68,20,38500000,6,5,2068,3-,East,https://www.gharghaderi.com/house/2750-house-for-sale-in-Budhanilkantha-Nayabasti/
"House for sale tahachal-13, kathmandu | 9841747236",Kathmandu,Kathmandu,Tahachal,1540.125,10,39500000,1,1,2067,3-,East,https://www.gharghaderi.com/house/1920-House-for-sale-tahachal-13-kathmandu/
Excellent house in Grande Villa Housing Colony | 9801111582,Kathmandu,Tokha,Grande Villa,1625.6875,20,39500000,4,3,2070,3-,North,https://www.gharghaderi.com/house/2255-Excellent-house-in-Grande-Villa-Housing-Colony/
House Sale Kirtipur | 9851217207,Kathmandu,Kirtipur,Hanumanghat,1863,12,40000000,1,4,2067,3-,South,https://www.gharghaderi.com/house/1954-House-Sale-Kirtipur/
4 storey fully furnished house for sale in Hattigauda 4 Budhanilkantha | 9843522395,Kathmandu,Budhanilkantha,Hattigauda,1882.37,28,40000000,8,6,2072,3-,South east,https://www.gharghaderi.com/house/1888-4-storey-fully-furnished-house-for-sale-in-Hattigauda-4-Budhanilkantha/
Bungalow for sale in Kapan Budhanilkantha Kathmandu | 9808347966,Kathmandu,Budhanilkantha,Kapan,2053.5,20,40000000,5,5,,3-,City,https://www.gharghaderi.com/house/442-Bungalow-for-sale-in-Kapan-Budhanilkantha-Kathmandu/
House for sale in koteshwor | 9861549905,Kathmandu,Kathmandu,Koteshwor,1026.75,10,41500000,1,4,2076,3-,East,https://www.gharghaderi.com/house/2247-House-for-sale-in-koteshwor/
budhanilkantha super bungalow | 9840872228,Kathmandu,Budhanilkantha,Budda colony,1745.475,13,41500000,6,5,2076,3-,West,https://www.gharghaderi.com/house/1375-budhanilkantha-super-bungalow/
Sukedhara family beauty | 9840872228,Kathmandu,Budhanilkantha,Sukedhara,2053.5,13,42000000,5,5,2076,3+,East,https://www.gharghaderi.com/house/1429-Sukedhara-family-beauty/
11  AANA land with home for sale at Hattigauda | 9840872228,Kathmandu,Budhanilkantha,Hattigauda,3764.75,16,42000000,6,4,2067,3-,East,https://www.gharghaderi.com/house/1213-11- AANA-land-with-home-for-sale-at-Hattigauda/
House for sale at Sukedhara Kathmandu | 984087222,kathmandu,Budhanilkantha,Sukedhara,2053.5,25,42500000,5,4,2076,3-,East,https://www.gharghaderi.com/house/1068-House-for-sale-at-Sukedhara-Kathmandu/
Pasikot family space | 9840872228,Kathmandu,Budhanilkantha,Pasikot,2738,15,42500000,4,5,2076,3+,North east,https://www.gharghaderi.com/house/1467-Pasikot-family-space/
Bungalow built on 8  AANA at Rudreshwor on sale | 9840872228,Kathmandu,Budhanilkantha,Rudreshwor,2738,13,42500000,5,5,2069,3+,East,https://www.gharghaderi.com/house/1188-Bungalow-built-on-8- AANA-at-Rudreshwor-on-sale/
House for sale in Thankot 7 Chandragiri Kathmandu | 9819049777,Kathmandu,Chandragiri,Thankot,4107,22,42900000,8,5,2076,3+,East,https://www.gharghaderi.com/house/914-House-for-sale-in-Thankot-7-Chandragiri-Kathmandu/
Bungalow on sale at Hepali | 9840872228,Kathmandu,Budhanilkantha,Hepali,1711.25,16,43000000,4,4,2071,3-,South east,https://www.gharghaderi.com/house/1087-Bungalow-on-sale-at-Hepali/
Budhanilkantha bungalow on sale | 9840872228,Kathmandu,budhanilkantha,Narayanthan,1500,20,45000000,5,5,2076,3-,East,https://www.gharghaderi.com/house/1055-Budhanilkantha-bungalow-on-sale/
Beautiful house on sale at koteshwor | 9808045100,Kathmandu,Kathmandu,Seti opi marga,1540.125,20,45000000,8,5,2068,3-,East,https://www.gharghaderi.com/house/2458-Beautiful-house-on-sale-at-koteshwor/
"Sale Semi Bungalow at Dhungedhara, B AANAsthali | 9860951737",Kathmandu,Kathmandu,B AANAsthali,1561.51,13,45000000,7,5,2076,3-,North,https://www.gharghaderi.com/house/2293-Sale-Semi-Bungalow-at-Dhungedhara-B AANAsthali/
Samakhusi najikai aakarshak ghar bikri ma | 9846199484,Kathmandu,Tokha,Samakhusi Chowk,1711.25,10,45000000,7,4,2076,3-,East,https://www.gharghaderi.com/house/2565-Samakhusi-najikai-aakarshak-ghar-bikri-ma/
"House For Sale In Boudha, Mahankal | 9851022411",Kathmandu,Kathmandu,"Mahankal, Boudha",2224.625,,45000000,5,2,2076,3-,East,https://www.gharghaderi.com/house/1927-House-For-Sale-In-Boudha-Mahankal/
Budhanilkantha family suit | 9840872228 sold,Kathmandu,Budhanilkantha,Budhanilkantha,2395.75,20,45000000,5,5,2076,3+,East,https://www.gharghaderi.com/house/1479-Budhanilkantha-family-suit/
Semi bungalow on sale at Dhumbarahi | 9840872228,Kathmandu,Kathmandu,Dhumbarahi,2395.75,12,45000000,8,5,2069,3+,East,https://www.gharghaderi.com/house/1203-Semi-bungalow-on-sale-at-Dhumbarahi/
A Luxurious Banglow in Sukedhara. | 9851055550,Kathmandu,Kathmandu,Sukedhara,2395.75,12,45000000,5,3,2067,3-,East,https://www.gharghaderi.com/house/992-A-Luxurious-Banglow-in-Sukedhara./
Beautiful house for sale | 9823079533,kathmandu,Budhanilkantha,Jorpati,2737.92,,45000000,5,5,2076,3+,East,https://www.gharghaderi.com/house/945-Beautiful-house-for-sale/
New house on sale at Budhanilkantha | 9840872228,Kathmandu,Budhanilkantha,Rudreshwor,2738,20,45000000,5,5,2076,3-,East,https://www.gharghaderi.com/house/1117-New-house-on-sale-at-Budhanilkantha/
Bungalow on sale at Basbari | 9847369375,Kathmandu,Budhanilkantha,Bansbari,2738,20,45000000,6,4,2076,3-,East,https://www.gharghaderi.com/house/1096-Bungalow-on-sale-at-Basbari/
House on sale at Bansbari | 9840872228,Kathmandu,Kathmandu,Bansbari,2738,16,45000000,6,5,2069,3-,West,https://www.gharghaderi.com/house/1095-House-on-sale-at-Bansbari/
Syuchatar Kathmandu nepal | 0487331423,Kathmandu,Nagarjun,Syuchatar,3764.75,20,45000000,7,4,2068,3-,East,https://www.gharghaderi.com/house/1732-Syuchatar-Kathmandu-nepal/
Modern Style House At Swayambhu Available On Sale | 9842341392 sold,Kathmandu,Kathmandu,Swayambhu,1711.25,13,47500000,8,5,2075,3-,East,https://www.gharghaderi.com/house/1340-Modern-Style-House-At-Swayambhu-Available-On-Sale/
Budhanilkantha sweet family bungalow | 9840872228,Kathmandu,Budhanilkantha,Budhanilkantha Naranthan,2053.5,20,47500000,5,5,2076,3+,East,https://www.gharghaderi.com/house/1423-Budhanilkantha-sweet-family-bungalow/
2.5 storey house for sale in Maharajgunj | 9841757111,Kathmandu,Kathmandu,Maharajgunj,2738,10,48000000,7,5,2067,3-,South,https://www.gharghaderi.com/house/1253-2.5-storey-house-for-sale-in-Maharajgunj/
House for sale at Budhanilkantha Kathmandu | 9801909608,Kathmandu,Budhanilkantha,Rudreshwor,2738,16,48000000,4,3,,,north east east,https://www.gharghaderi.com/house/403-House-for-sale-at-Budhanilkantha-Kathmandu/
House for sale at Budhanilkantha | 9851141343,Kathmandu,Budhanilkantha,Taulung,4791.5,13,48500000,5,5,,3-,,https://www.gharghaderi.com/house/605-House-for-sale-at-Budhanilkantha/
House for sale in Baneshwor |,Kathmandu,Kathmandu,New-Baneshwor,2053.5,26,49000000,,,,,,https://www.gharghaderi.com/house/478-House-for-sale-in-Baneshwor/
"House on Sale!!!!!! in Sukedhara ,Only 300 meters from Ring Road | 9861495938",Kathmandu,Kathmandu,Sukedhara,1369,12,49500000,1,3,2067,3-,North,https://www.gharghaderi.com/house/2489-House-on-Sale!!!!!!-in-Sukedhara-Only-300-meters-from-Ring-Road/
CG Hills furnished house on sale | 9840872228,Kathmandu,Budhanilkantha,Hattigauda,1540.125,20,50000000,4,5,2071,3-,West,https://www.gharghaderi.com/house/1266-CG-Hills-furnished-house-on-sale/
Flat system house on sale at Balaju | 9841232360,Kathmandu,Kathmandu,Balaju,1582.9,10,50000000,8,8,2070,3-,South,https://www.gharghaderi.com/house/1446-Flat-system-house-on-sale-at-Balaju/
Semi furnished house on sale at Kapan | 984736937,Kathmandu,Budhanilkantha,Kapan,2053.5,14,50000000,6,4,2076,3-,East,https://www.gharghaderi.com/house/981-Semi-furnished-house-on-sale-at-Kapan/
House for sale in Dallu Chagal | 9808616462,Kathmandu,Kathmandu,Dallu,2224.625,20,50000000,,,,,,https://www.gharghaderi.com/house/524-House-for-sale-in-Dallu-Chagal/
Dhapasi marga near mills berry International school | 985119505w,Kathmandu,Tokha,"bhetghat chowk bansbari , dhapasi marga",2395.75,10,50000000,4,4,2075,3-,South,https://www.gharghaderi.com/house/2630-Dhapasi-marga-near-mills-berry-International-school/
Bungalow for Sale in Rudreshwor Budhanilkantha | 9840872228,Kathmandu,Budhanilkantha,Rudreshwor,4107,12,50000000,7,5,2075,3+,East,https://www.gharghaderi.com/house/711-Bungalow-for-Sale-in-Rudreshwor-Budhanilkantha/
House for sale in Golfutar 10 Budhanilkantha | 9843810955,Kathmandu,Budhanilkantha,Golfutar,2738,13,50500000,5,5,2068,3-,East,https://www.gharghaderi.com/house/628-House-for-sale-in-Golfutar-10-Budhanilkantha/
House for sale at Chabahil | 9802242843,Kathmandu,Kathmandu,Samakhusi,2502.7,7,52000000,6,,,,,https://www.gharghaderi.com/house/825-House-for-sale-at-Chabahil/
House for sale. Reasonable price. Excellent condition | 9803685526,Kathmandu,kathmandu,Tahachal,2139,8,52500000,1,1,2076,3-,East,https://www.gharghaderi.com/house/2942-House-for-sale.-Reasonable-price.-Excellent-condition/
"New house for sale in Pasikot, Budhanilkantha | 9849961353",Kathmandu,Budhanilkantha,Pasikot,4107,,54000000,4,4,2067,3+,East,https://www.gharghaderi.com/house/1409-New-house-for-sale-in-Pasikot-Budhanilkantha/
Baluwatar supremely beauty bungalow | 9840872228,Kathmandu,Kathmandu,Baluwatar,1745.475,12,55000000,4,5,2076,3-,South east,https://www.gharghaderi.com/house/1411-Baluwatar-supremely-beauty-bungalow/
Baluwatar new home | 9840872228,Kathmandu,Kathmandu,Baluwatar,1745.475,13,55000000,6,5,2076,3-,North east,https://www.gharghaderi.com/house/1371-Baluwatar-new-home/
Classical Brand New House For Sale At Samakhusi | 9847369375,Kathmandu,Kathmandu,Samakhusi,2395.75,20,55000000,6,5,2076,3+,East,https://www.gharghaderi.com/house/1098-Classical-Brand-New-House-For-Sale-At-Samakhusi/
Modern 5 bhk detached duplex budhanilkanth | 9840872228,Kathmandu,Budhanilkantha,Budhanilkantha,2566.875,13,55000000,5,5,2076,3+,North east,https://www.gharghaderi.com/house/1841-Modern-5-bhk-detached-duplex-budhanilkanth/
New House in Budhanikantha | 9814817278,Kathmandu,Budhanilkantha,Deuwa Chowk,2738,12,55000000,8,4,2076,3+,East,https://www.gharghaderi.com/house/2522-New-House-in-Budhanikantha/
Budhanilkantha colony bungalow on sale | 9840872228,Kathmandu,Budhanilkantha,Rudreshwor,3080.25,20,55000000,4,5,2075,3+,South east,https://www.gharghaderi.com/house/1368-Budhanilkantha-colony-bungalow-on-sale/
4.5 story house at Baneshwor Sankhamul | 9840872228,Kathmandu,Kathmandu,Baneshwor,1369,15,55500000,8,5,2075,3-,East,https://www.gharghaderi.com/house/1270-4.5-story-house-at-Baneshwor-Sankhamul/
VIP house for sale at Gyaneshwor Chowk Kathmandu | 9842341392 sold,Kathmandu,Kathmandu,Gyaneshwor,2053.5,15,56000000,4,4,2073,3-,South,https://www.gharghaderi.com/house/990-VIP-house-for-sale-at-Gyaneshwor-Chowk-Kathmandu/
House On Sale At Budhanilkantha | 9842341392 sold,Kathmandu,Budhanilkantha,Siddhartha colony,2395.75,20,57500000,4,5,2075,3-,South,https://www.gharghaderi.com/house/1339-House-On-Sale-At-Budhanilkantha/
Budhanilkantha Phulbari home | 9840872228,Kathmandu,Budhanilkantha,Taulung,2224.625,20,58000000,5,5,2076,3-,South east,https://www.gharghaderi.com/house/1367-Budhanilkantha-Phulbari-home/
"6BHK Bunglow For SALE At Bafal, Kathmandu | 9802601313",Kathmandu,Kathmandu,Bafal,3016.07,12,58000000,6,5,2076,3+,East,https://www.gharghaderi.com/house/2719-6BHK-Bunglow-For-SALE-At-Bafal-Kathmandu/
House for sale Tokha (Dhapasi) | 9801003584,Kathmandu,Tokha,Dhapasi,3162.39,6,58000000,5,5,2068,3-,North,https://www.gharghaderi.com/house/2166-House-for-sale-Tokha-(Dhapasi)/
Family Bungalow at Siddhartha Colony on sale | 9840872228,Kathmandu,Budhanilkantha,Siddhartha Colony,2652.43,20,59000000,4,5,2075,3+,South east,https://www.gharghaderi.com/house/1187-Family-Bungalow-at-Siddhartha-Colony-on-sale/
5.5 Floor Flat System Brand New House On Sale At Dillbazar | 9847369375,Kathmandu,Kathmandu,"KALIKASTHAN, DILLIBAZAR",1369,15,60000000,8,5,2076,3+,North west,https://www.gharghaderi.com/house/1828-5.5-Floor-Flat-System-Brand-New-House-On-Sale-At-Dillbazar/
Modern house at Dhubmarahi 4 Kathmandu | 984025123,Kathmandu,Kathmandu,Dhumbarahi,2738,12,60000000,8,5,2075,3-,East,https://www.gharghaderi.com/house/622-Modern-house-at-Dhubmarahi-4-Kathmandu/
Budhanilkantha 11  AANA house for sale | 9840872228,Kathmandu,Budhanilkantha,Budhanilkantha,3764.75,13,60000000,6,5,2071,3+,East,https://www.gharghaderi.com/house/1276-Budhanilkantha-11- AANA-house-for-sale/
SINGLE FAMILY HOUSE BUDHANILKANTHA | 9840872228,Kathmandu,Budhanilkantha,BUDHANILKANTHA,2566.875,16,63000000,6,5,2076,3+,East,https://www.gharghaderi.com/house/1783-SINGLE-FAMILY-HOUSE-BUDHANILKANTHA/
House on sale at Baneshwor | 9861828129 sold,Kathmandu,Kathmandu,Baneshwor,2464.2,20,63500000,8,4,2076,3-,North east,https://www.gharghaderi.com/house/2039-House-on-sale-at-Baneshwor/
Bungalow for sale at Maharajgunj | 9801028304,Kathmandu,Kathmandu,Maharajgunj,2844.95,14,65000000,8,5,2075,3-,East,https://www.gharghaderi.com/house/634-Bungalow-for-sale-at-Maharajgunj/
"Bunglow for sale near Grande Hospital,Tokha, Kathmandu | 9843581400",Kathmandu,Tokha,Grande Hospital,2909.12,18,65000000,5,5,2074,3-,West,https://www.gharghaderi.com/house/1870-Bunglow-for-sale-near-Grande-Hospital-Tokha-Kathmandu/
Bungalow on sale at koteshwor | 9861828129 sold,Kathmandu,Kathmandu,Koteshwor,3148.7,16,65000000,6,3,2076,3-,South east,https://www.gharghaderi.com/house/2038-Bungalow-on-sale-at-koteshwor/
House on sale in budanilkantha | 9808869132,Kathmandu,Budhanilkantha,Bhangal,5202.2,,65000000,6,5,2068,3+,West,https://www.gharghaderi.com/house/2206-House-on-sale-in-budanilkantha/
House for sale in Balaju Seshmati kathmandu | 9843560512,Kathmandu,Nagarjun,Balaju,5518.78,13,65000000,,,,,,https://www.gharghaderi.com/house/582-House-for-sale-in-Balaju-Seshmati-kathmandu/
"Modern 4BHK Home For Sale At Panipokhari Heights, Lazimpat | 9802601313",Kathmandu,Kathmandu,Panipokhari Heights,1450.07,20,67500000,4,1,2076,3-,North,https://www.gharghaderi.com/house/2570-Modern-4BHK-Home-For-Sale-At-Panipokhari-Heights-Lazimpat/
Beautiful House is on sale at Budanilkantha Height | 9861828129 sold,Kathmandu,Budhanilkantha,Budhanilkantha,2464.2,16,68000000,6,5,2076,3-,South east,https://www.gharghaderi.com/house/2065-Beautiful-House-is-on-sale-at-Budanilkantha-Height/
House for sale at Khusibu Kathmandu | 9801909608,Kathmandu,Kathmandu,Khusibu,2481.31,20,68000000,,,,,,https://www.gharghaderi.com/house/395-House-for-sale-at-Khusibu-Kathmandu/
Mandikatar bungalow | 9840872228,Kathmandu,Budhanilkantha,Mandikatar,4449.25,15,69999999,5,5,2070,3+,East,https://www.gharghaderi.com/house/1378-Mandikatar-bungalow/
"House For Sale At Panipokhari Heights, Panipokhari, Lazimpat, Kathmandu | 985-102740",Kathmandu,Kathmandu,Panipokhari,1449.6403,,70000000,4,1,2076,3-,East,https://www.gharghaderi.com/house/1938-House-For-Sale-At-Panipokhari-Heights-Panipokhari-Lazimpat-Kathmandu/
"4BHK Bungalow For Sale At Sukedhara, Kathmandu | 9802601115",Kathmandu,Kathmandu,Sukhedhara,2395.75,12,70000000,4,3,2067,3+,East,https://www.gharghaderi.com/house/2481-4BHK-Bungalow-For-Sale-At-Sukedhara-Kathmandu/
Bungalow with 12  AANA land on sale at Narayanthan | 9840872228,Kathmandu,Budhanilkantha,Narayanthan,4107,16,72000000,5,5,2076,3+,South east,https://www.gharghaderi.com/house/1190-Bungalow-with-12- AANA-land-on-sale-at-Narayanthan/
Bungalow for sale in Narayanthan Budhanilkantha Kathmandu | 9840872228,Kathmandu,Budhanilkantha,Narayanthan,4449.25,14,72000000,5,4,2074,3+,South east,https://www.gharghaderi.com/house/715-Bungalow-for-sale-in-Narayanthan-Budhanilkantha-Kathmandu/
Furnished bungalow for sale at Dhumbarahi Kathmandu | 9851155216,Kathmandu,Kathmandu,Dhumbarahi,4107,10,75000000,5,5,2075,3+,East,https://www.gharghaderi.com/house/621-Furnished-bungalow-for-sale-at-Dhumbarahi-Kathmandu/
House for sale in Budhanilkantha | 974830145,Kathmandu,Budhanilkantha,Park Village Resort,3600,12,76000000,2,1,2067,3-,West,https://www.gharghaderi.com/house/2401-House-for-sale-in-Budhanilkantha/
Bungalow on sale at Sanepa Lalitpur | 9851155216,Kathmandu,Lalitpur,Sanepa,3080.25,13,77000000,6,4,2072,3+,East,https://www.gharghaderi.com/house/2461-Bungalow-on-sale-at-Sanepa-Lalitpur/
"4 Storey Brand New House On Sale At Naxal, 100 Meter From Bhat Bhateni | 9847369375",Kathmandu,Kathmandu,Naxal,1604.29,15,78000000,8,5,2076,3-,East,https://www.gharghaderi.com/house/1843-4-Storey-Brand-New-House-On-Sale-At-Naxal-100-Meter-From-Bhat-Bhateni/
Residential tower for sale | 9840872228,Kathmandu,Kathmandu,Naksal,1711.25,16,78000000,8,5,2076,3-,North east,https://www.gharghaderi.com/house/1838-Residential-tower-for-sale/
House for sale in Ason | 9851016411,Kathmandu,Kathmandu,Ason,941.18,20,80000000,1,4,2075,3-,South west,https://www.gharghaderi.com/house/1482-House-for-sale-in-Ason/
"Bungalow For SALE At Sanobharyang, Kathmandu | 9802601313",Kathmandu,Kathmandu,Sanobharyang,2909.12,16,85000000,7,5,2076,3-,West,https://www.gharghaderi.com/house/2795-Bungalow-For-SALE-At-Sanobharyang-Kathmandu/
House for Sale on 10  AANA of Land | 9849237550,Kathmandu,Kathmandu,Chabahil,3422.5,10,85000000,8,6,2068,3+,North west,https://www.gharghaderi.com/house/2349-House-for-Sale-on-10- AANA-of-Land/
flat system home built on 11  AANA on sale at Rudreshwor | 9840872228,Kathmandu,Budhanilkantha,Rudreshwor,3764.75,13,85000000,7,5,2076,3+,South,https://www.gharghaderi.com/house/1162-flat-system-home-built-on-11- AANA-on-sale-at-Rudreshwor/
Commercial Building for sale at Samakhusi Kathmandu | 9847369375,Kathmandu,Kathmandu,Samakhusi,2053.5,25,90000000,8,5,2076,3-,South west,https://www.gharghaderi.com/house/976-Commercial-Building-for-sale-at-Samakhusi-Kathmandu/
Newly built 5.5 Talla commercial house for sale | 9841169325,Kathmandu,Baniyatar,Samakhusi,2000,20,92500000,12,5,2076,3+,East,https://www.gharghaderi.com/house/2579-Newly-built-5.5-Talla-commercial-house-for-sale/
"Main Area: Near Singhadurbar,  AANAmnagar House 11.5  AANA For Sale | 9823166777",Kathmandu,Kathmandu, AANAmnagar,3935.875,13,95500000,7,4,2067,3+,East,https://www.gharghaderi.com/house/2131-Main-Area:-Near-Singhadurbar- AANAmnagar-House-11.5- AANA-For-Sale/
