City,Address,Price,Land,Bedroom,Bathroom,Face,Floor,Road
Lalitpur,Hattiban,8000000,605,2,1,South East,1,12
Lalitpur,Imadol,17200000,1069.53125,6,3,East,2.5,13
Lalitpur,Imadol,20000000,1411.78125,7,3,West,3.5,12
Lalitpur,Imadol,20600000,855.625,6,3,West,2.5,13
Lalitpur,Imadol,21500000,1026.75,7,4,South,2.5,10
Lalitpur,Imadol,22500000,1026.75,4,4,West,2.5,13
Lalitpur,Imadol,22500000,1197.875,6,3,West,2.5,16
Lalitpur,Imadol,24000000,1026.75,5,4,North,2.5,16
Lalitpur,Imadol,24000000,1047.285,4,4,West,2.5,16
Lalitpur,Imadol,25000000,1369,4,4,North East,2.5,13
Lalitpur,Imadol,26000000,1026.75,6,3,East,3,13
Lalitpur,Imadol,26500000,1026.75,5,3,West,3,13
Lalitpur,Imadol,28500000,1026.75,6,3,East,2.5,20
Lalitpur,Imadol,41500000,1625.6875,4,4,East,2.5,20
Lalitpur,"Imadol, Gairi Gaun",31500000,1690.715,6,4,North,2.5,12
Kathmandu,Infront of Raja Birendra Marga,73000000,3935.875,21,4,North West,3.5,20
Lalitpur,Jhulpakha,26000000,1882.375,6,3,North East,2.5,14
Kathmandu,Jorpati,15200000,855.625,4,3,East,2.5,10
Kathmandu,Jorpati,20000000,1197.875,5,2,East,2,13
Kathmandu,Jorpati,37000000,1369,6,6,North East,3.5,25
Kathmandu,Kadaghari,17500000,941.1875,4,3,South,2.5,8
Kathmandu,Kadaghari,21500000,1283.4375,6,3,East,3,13
Kathmandu,Kadaghari,23500000,1369,6,4,South East,2.5,20
Kathmandu,Kageshwori Manahara-6,15000000,1026.75,6,3,North,2.5,10
Kathmandu,Kalanki,45000000,1347.609375,6,4,North East,3,12
Kathmandu,Kalanki,60000000,1711.25,20,10,South East,5.5,26
Kathmandu,Kapan,27500000,1197.875,5,2,East,2.5,11
Kathmandu,Kapan,31000000,1625.6875,5,4,West,2.5,12
Kathmandu,Kapan,33000000,1540.125,6,3,East,3,13
Kathmandu,Kapan,52500000,3080.25,5,5,South West,2.5,20
Bhaktapur,Kausaltar,32500000,1882.375,10,4,North East,4,26
Lalitpur,Kharibot,15000000,855.625,5,3,North East,3.5,18
Lalitpur,Kharibot,30000000,1026.75,6,4,North West,3.5,10
Lalitpur,Kharibot,58000000,1711.25,5,5,South,3.5,24
Lalitpur,Khumaltar,23000000,1326.21875,4,4,North East,3.5,10
Kathmandu,Kirtipur,23500000,1197.875,10,4,East,4,30
Kathmandu,Koteshwor,48000000,2738,5,4,East,3.5,10
Kathmandu,Kumarigal,23000000,1026.75,5,4,West,3,14
Lalitpur,Lubhu,23500000,1262.046875,6,6,South,2,20
Kathmandu,Machhapokhari,52500000,2181.84375,20,21,North East,4.5,13
Kathmandu,Makalbari,16000000,1197.875,3,3,East,2.5,10
Kathmandu,Makalbari,18000000,1069.53125,5,3,East,2.5,12
Kathmandu,Manamaiju,25500000,1283.4375,7,4,East,3.5,14
Kathmandu,Mitranagar,45000000,1369,20,17,North East,4.5,13
Kathmandu,Mulpani,30000000,1711.25,6,3,North,2.5,20
Kathmandu,Mulpani 7,20000000,1369,6,3,North,2.5,10
Lalitpur,Nakkhu,39000000,1197.875,5,6,East,3.5,13
Kathmandu,"Narayantar, Jorpati",27500000,1711.25,5,5,East,3.5,10
Kathmandu,Naya Naikap,29000000,1454.5625,7,4,South East,3.5,13
Kathmandu,"Nayabasti, Jorpati",31000000,1235.5225,11,3,North,3.5,10
Kathmandu,Nayapati,26000000,1283.4375,6,3,South East,3,22
Lalitpur,Near Mediciti Hospital,62500000,3807.53125,8,6,South,3.5,14
Kathmandu,New Buspark,23000000,1026.75,15,8,South,4.5,10
Kathmandu,New Buspark,36000000,1112.3125,23,15,South,5.5,12
Kathmandu,Pandhara Chowk,24500000,1403.225,4,4,North,2.5,20
Kathmandu,Patitar,67500000,3101.640625,11,4,North East,4,20
Kathmandu,PepsiCola,22000000,1197.875,6,4,East,3,10
Kathmandu,Pepsicola,25500000,1454.5625,6,4,West,2.5,13
Kathmandu,Purano Naikap,30000000,1711.25,5,4,West,2.5,10
Lalitpur,Raj Kulo Shital Height,27500000,1048.140625,4,4,South,2.5,20
Kathmandu,Ramkot,19000000,1197.875,2,4,South,2.5,13
Kathmandu,Ranibari,45000000,2652.4375,7,8,West,4.5,10
Kathmandu,Ratomate,13000000,941.1875,4,3,West,2.5,10
Kathmandu,Ratopol,220000000,5133.75,28,11,South,6.5,15
Lalitpur,Saibu,21500000,855.625,5,3,West,2.5,13
Kathmandu,Samakhusi,72500000,3422.5,6,6,South,2.5,26
Lalitpur,Sanagaun,16000000,1091.7775,2,1,North,1,13
Kathmandu,Sankhamul,37000000,1026.75,6,3,East,3.5,13
Bhaktapur,Sanothimi,70000000,5133.75,7,4,East,2.5,36
Kathmandu,Satungal,23000000,1197.875,6,4,North East,3.5,14
Kathmandu,Satungal,29000000,1369,8,5,North East,3.5,20
Lalitpur,Schook Chwok,15200000,1026.75,2,1,North West,1,13
Lalitpur,Shital Height,29000000,1369,4,4,East,2.5,20
Bhaktapur,Sirutar,15000000,1369,2,1,West,1,13
Lalitpur,Sita Pakha,25000000,1026.75,4,4,East,2.5,13
Kathmandu,Sitapaila,30000000,1197.875,2,2,East,2.5,13
Bhaktapur,Srijana Nagar,30000000,1711.25,5,5,West,2.5,18
Kathmandu,Sukedhara Chowk,45000000,1369,6,4,North,2.5,20
Kathmandu,Suryadanda,36100000,1711.25,7,3,South,3.5,18
Kathmandu,Syuchatar,25000000,1711.25,5,4,South West,3,4
Kathmandu,Thamel,55000000,2012.43,6,4,South,3.5,8
Kathmandu,Thankot,14500000,1026.75,2,3,South East,2.5,13
Lalitpur,Thasikhel,23500000,1882.375,6,5,East,2.5,10
Lalitpur,TIkathali,15000000,1133.703125,5,2,East,2.5,10
Lalitpur,Tikathali,15500000,1112.3125,2,1,North East,1,13
Lalitpur,Tikathali,17000000,1433.171875,2,1,West,1,10
Kathmandu,Tikathali,17200000,1112.3125,2,1,West,1,13
Lalitpur,Tikathali,18500000,855.625,3,3,North East,3,10
Lalitpur,Tikathali,18500000,1026.75,4,2,South,2.5,13
Lalitpur,Tikathali,19900000,941.1875,5,4,East,3,13
Lalitpur,Tikathali,22500000,1112.3125,6,3,North,2.5,12
Lalitpur,Tikathali,23000000,1069.53125,6,3,South,3,12
Lalitpur,Tikathali,23500000,1112.3125,5,4,South East,2.5,13
Lalitpur,Tikathali,23500000,1112.3125,7,3,West,2.5,20
Lalitpur,Tikathali,24100000,1026.75,7,3,North West,2.5,13
Lalitpur,Tikathali,24500000,1197.875,6,5,East,2.5,16
Lalitpur,Tikathali,25000000,1026.75,6,5,East,2.5,16
Lalitpur,Tikathali,25000000,1112.3125,6,3,South West,2.5,13
Lalitpur,Tikathali,25000000,1112.3125,6,5,South,2.5,13
Lalitpur,Tikathali,26000000,1197.875,7,3,East,2.5,12
Kathmandu,Tinthana,50000000,2762.29975,7,3,North West,3,24
