Floor,Price,City,Address,Road,Land,Bedroom,Bathroom,Face
2.5,24500000,Kathmandu,Bafal,12,1026.75,4,3,east
2.5,58000000,Kathmandu,Bafal,12,2887.73,6,5,East
2,17500000,Kathmandu,Balagau,12,1711.25,4,2,East
2.5,26000000,Kathmandu,Balaju,13,1540.125,4,3,East
4,50000000,Kathmandu,Balaju,10,1582.9,8,8,South
2,11000000,Kathmandu,Balambu,10,727.28,4,3,East
2.5,22350000,Kathmandu,Balkhu,16,1026.75,3,3,North
2.5,55000000,Kathmandu,Baluwatar,13,1745.475,6,5,North east
2.5,55000000,Kathmandu,Baluwatar,12,1745.475,4,5,South east
2.5,27000000,Kathmandu,Balwakhani,12,1440,3,3,East
2.5,20000000,Kathmandu,Banasthali,7.6,1027,5,3,North
2.5,27500000,Kathmandu,Banasthali,13,1369,5,5,South
3,45000000,Kathmandu,Banasthali,13,1497.34,7,5,North
4.5,55500000,Kathmandu,Baneshwor,15,1369,8,5,East
2.5,63500000,Kathmandu,Baneshwor,20,2464.2,8,4,North east
3,23500000,Kathmandu,Baniyatar,13,1129.425,7,5,East
2.5,23500000,Kathmandu,Baniyatar,14,1411.78,5,4,South
3,35000000,Kathmandu,Baniyatar,20,1540.125,8,5,East
2.5,29000000,Kathmandu,Bansbari,10,1390.39,6,4,West
3,36000000,Kathmandu,Bansbari,10,2053.5,6,5,South east
2,45000000,Kathmandu,Bansbari,20,2738,6,4,East
2.5,45000000,Kathmandu,Bansbari,16,2738,6,5,West
2.5,110000000,Kathmandu,Bansbari,13,6845,6,5,East
3.5,25000000,Kathmandu,BASUNDHARA,13,1369,6,4,South east
2.5,31000000,Kathmandu,Basundhara,13,1711.25,5,3,South west
2.5,35000000,Kathmandu,Basundhara,13,1882.375,2,1,East
2.5,100000000,Kathmandu,Basundhara,22,3422.5,5,5,East
3,140000000,Kathmandu,Basundhara,20,8214,8,3,North
3,30000000,Kathmandu,Besi Gaun,12,1369,6,3,East
2.5,28500000,Kathmandu,"Besigaun, Jorpati",12,1540.125,5,2,South
2.5,21000000,Kathmandu,Bhangal,20,1026.75,6,3,East
2.5,22000000,Kathmandu,bhangal,13,1069.53,7,5,East
1,23000000,Kathmandu,Bhangal,13,1197.87,4,3,East
2.5,16500000,Kathmandu,bhangal,13,1197.875,5,4,South west
2.5,27000000,Kathmandu,Bhangal,12,1369,5,4,South east
2.5,23800000,Kathmandu,Bhangal,13,1454.56,5,5,East
2.5,35000000,Kathmandu,Bhangal,14,1711.25,3,3,East
2.5,35000000,Kathmandu,Bhangal,13,2053.5,6,4,west
2.5,18000000,Kathmandu,Bhatkepati,13,1069.53,6,3,South
2.5,50000000,Kathmandu,"bhetghat chowk bansbari , dhapasi marga",10,2395.75,4,4,South
4,37500000,Kathmandu,Bhimsenthan,12,1369,8,5,East
2.5,100000000,Kathmandu,Bishalnagar,16,2738,5,3,South
3.5,27000000,Kathmandu,Boudha,13,1369,4,4,East
2.5,41500000,Kathmandu,Budda colony,13,1745.475,6,5,West
3,23000000,Kathmandu,Budhanilkantha,16,1197.875,4,3,East
1,24000000,Kathmandu,Budhanilkantha,20,1369,1,1,East
2.5,32900000,Kathmandu,Budhanilkantha,14,2139.0625,8,5,North east
2.5,45000000,Kathmandu,Budhanilkantha,20,2395.75,5,5,East
1,68000000,Kathmandu,Budhanilkantha,16,2464.2,6,5,South east
3.5,63000000,Kathmandu,BUDHANILKANTHA,16,2566.875,6,5,East
2.5,55000000,Kathmandu,Budhanilkantha,13,2566.875,5,5,North east
3,60000000,Kathmandu,Budhanilkantha,13,3764.75,6,5,East
2.5,135000000,Kathmandu,Budhanilkantha,20,7187.25,6,5,East
3,125000000,Kathmandu,Budhanilkantha,16,7529.5,6,5,North east
2.5,47500000,Kathmandu,Budhanilkantha Naranthan,20,2053.5,5,5,East
1,25500000,Kathmandu,"BUDHANILKANTHA, Dulal Tole",14,1745.475,5,3,East
2.5,20000000,Kathmandu,Chabahil,6,1369,6,2,East
2.5,29500000,Kathmandu,Chabahil,13,1369,5,4,East
6,140000000,Kathmandu,"Chamati, Banasthali",26,3113.6184,1,1,West
1,33500000,Kathmandu,Chandole,16,1369,4,4,East
2.5,26700000,Kathmandu,"Chandragiri-06, Radhekrishna Tole",20,1711.25,6,1,West
2.5,27000000,Kathmandu,Chapali,12,1540.125,5,4,west
5,25000000,Kathmandu,Chapali,12,1711.24,4,4,North west
2.5,31000000,Kathmandu,Chapali,13,1711.25,4,5,City
3.5,35000000,Kathmandu,Chappal karkhana,16,1026.75,4,4,South
2.5,32000000,Kathmandu,chappalkarkhana,13,1026.75,4,5,South west
2,16000000,Kathmandu,Chunikhel,13,1060.975,2,1,North
2.5,19500000,Kathmandu,"Chunikhel, Budhanilkantha Nearby Peak point School",10,898.4,4,3,South west
2.5,21500000,Kathmandu,Dahachowk,12,1069.53,7,4,East
2.5,36000000,Kathmandu,Deuba Chowk,16,2053.5,5,5,East
2.5,37500000,Kathmandu,"Deuba chowk, chapali",13,1711.25,5,3,South
2.5,36500000,Kathmandu,Deuba-chowk,13,2395.75,3,3,East
2.5,55000000,Kathmandu,Deuwa Chowk,12,2738,8,4,East
2.5,5000000,Kathmandu,Dhalmal Pul,12,1200,7,3,South west
3,16500000,Kathmandu,Dhalpa,13,1000,8,3,South
2.5,29500000,Kathmandu,Dhapasi,13,1026.75,5,3,West
2.5,29500000,Kathmandu,Dhapasi,13,1369,5,4,East
2.5,32000000,Kathmandu,Dhapasi,13,1711.25,6,5,East
2.5,32500000,Kathmandu,Dhapasi,13,1711.25,5,5,City
3.5,58000000,Kathmandu,Dhapasi,6,3162.39,5,5,North
2.5,120000000,Kathmandu,Dhapasi,15,10267.5,5,5,South west
2.5,260000000,Kathmandu,Dhumbarahi,18,1779.7,5,5,East
3.5,45000000,Kathmandu,Dhumbarahi,12,2395.75,8,5,East
3,60000000,Kathmandu,Dhumbarahi,12,2738,8,5,East
2.5,75000000,Kathmandu,Dhumbarahi,10,4107,5,5,East
1,17000000,Kathmandu,Dhungeadda,16,727.28,6,3,East
3.5,31500000,Kathmandu,Dhungeadda,30,1732.64,7,4,East
3,350000000,Kathmandu,"Dillibazar, ghattakulo",10,1500,7,3,South east
1,150000000,Kathmandu,Futung,16,1197.875,2,1,South east
2.5,27500000,Kathmandu,Gairigaun,13,1711.25,7,4,East
2,15000000,Kathmandu,Ganesh chowk,6,1411.78,4,2,East
1,13000000,Kathmandu,gokarna,13,1026.75,2,1,East
2.5,25000000,Kathmandu,Gokarna,44,1818.2,8,3,East
3.5,29500000,Kathmandu,Goldhunga,10,1500,8,4,West
2.5,32500000,Kathmandu,Golfutar,16,1369,5,4,East
2.5,36500000,Kathmandu,Golfutar,20,1369,5,3,East
2.5,28500000,Kathmandu,Golfutar,14,1475.95,5,4,City
2.5,50500000,Kathmandu,Golfutar,13,2738,5,5,East
2.5,269999999,Kathmandu,Golfutar,20,5476,6,4,South
2.5,100000000,Kathmandu,GOLFUTAR,13,6502.75,6,5,East
5,35000000,Kathmandu,Gongaboo,16,1711.25,8,5,East
3.5,23750000,Kathmandu,Gongabu,12,1069.53,6,5,East
3.5,35000000,Kathmandu,Gongabu,12,1411.78,8,5,South
2.5,17500000,Kathmandu,Gothatar,13,1026.75,4,3,East
3,23000000,Kathmandu,Gothatar,16,1390.39,6,5,East
3,65000000,Kathmandu,Grande Hospital,18,2909.12,5,5,West
1,39500000,Kathmandu,Grande Villa,20,1625.6875,4,3,North
2.5,27500000,Kathmandu,Greenland,13,1369,5,5,East
3.5,38000000,Kathmandu,Greenland,16,2502.7,7,5,South
2.5,16500000,Kathmandu,Gurjudhara,16,1069.53,4,3,East
1,18000000,Kathmandu,"Gurung Tole Nearby Aani Gumba, Kapan",16,1796.8,2,4,North east
2.5,56000000,Kathmandu,Gyaneshwor,15,2053.5,4,4,South
2.5,130000000,Kathmandu,Hadigaon,13,3800,4,5,South
3.5,40000000,Kathmandu,Hanumanghat,12,1863,1,4,South
2.5,28000000,Kathmandu,Hattigauda,12,1369,5,3,East
2.5,50000000,Kathmandu,Hattigauda,20,1540.125,4,5,West
2.5,34500000,Kathmandu,Hattigauda,13,1711.25,5,4,South
2.5,33400000,Kathmandu,Hattigauda,13,1754.03,5,5,South east
4,40000000,Kathmandu,Hattigauda,28,1754.03,8,6,South east
2,37500000,Kathmandu,Hattigauda,12,2139.05,5,2,East
2.5,34000000,Kathmandu,hattigauda,13,2395.75,6,4,South west
2.5,42000000,Kathmandu,Hattigauda,16,3764.75,6,4,East
2.5,100000000,Kathmandu,Hattigauda,15,6845,5,5,East
2.5,100000000,Kathmandu,Hattigauda,12,6845,6,4,East
2,37500000,Kathmandu,Height,14,1754.03,6,1,North east
2.5,38000000,Kathmandu,Height,16,2121.95,4,4,South east
2.5,26000000,Kathmandu,Hepali,20,1026.75,4,5,North
2.5,43000000,Kathmandu,Hepali,16,1711.25,4,4,South east
2.5,70000000,Kathmandu,Hepali,16,4107,5,5,West
2.5,18000000,Kathmandu,Imadol,13,1026.75,6,3,North east
2.5,22000000,Kathmandu,itakhel,10,1711.25,6,3,East
1,29000000,Kathmandu,"Jalpa Chowk, Gongbu",13,1369,1,1,South
1,2.00E+11,Kathmandu,Jorpati,16,700,1,1,West
2.5,14300000,Kathmandu,Jorpati,10,752.95,3,3,South
3,30000000,Kathmandu,Jorpati,13,1200,8,3,East
2.5,27000000,Kathmandu,jorpati,13,1219.26,6,3,South east
2.5,22500000,Kathmandu,Jyotinagar,13,1069.53,5,4,East
2.5,26000000,Kathmandu,Jyotinagar,13,1540.125,5,5,south
1,32500000,Kathmandu,"Kadaghari, Hanuman Mandir",13,1197.875,6,1,East
2.5,27000000,Kathmandu,Kageshwori Manohara,13,1197.87,6,3,North
2.5,24000000,Kathmandu,Kageshwori Manohara,20,1197.875,6,3,East
2.5,19499988,Kathmandu,Kalanki,6,1200,3,3,West
7,26500000,Kathmandu,kalanki,13,1369,1,1,East
5,60000000,Kathmandu,"KALIKASTHAN, DILLIBAZAR",15,1369,8,5,North west
3.5,24000000,Kathmandu,Kapan,13,1197.875,7,4,West
3,14000000,Kathmandu,Kapan,12,1197.875,2,2,East
2.5,23500000,Kathmandu,Kapan,10,1197.875,5,3,South east
1,13900000,Kathmandu,KAPAN,13,1200,2,1,North east
1,19000000,Kathmandu,Kapan,10,1369,2,1,West
2.5,26500000,Kathmandu,Kapan,10,1369,5,3,East
3,29000000,Kathmandu,Kapan,10,1369,1,1,South east
2.5,28000000,Kathmandu,Kapan,13,1369,7,4,East
2.5,27000000,Kathmandu,Kapan,13,1369,5,5,East
2.5,26500000,Kathmandu,Kapan,13,1437.45,5,5,East
2.5,25000000,Kathmandu,Kapan,12,1540.125,7,5,North east
2,40000000,Kathmandu,Kapan,20,2053.5,5,5,City
2.5,50000000,Kathmandu,Kapan,14,2053.5,6,4,East
3.5,37000000,Kathmandu,Kapan,20,2087.725,7,4,East
2.5,17000000,Kathmandu,Kathmandu,16,727.28,4,2,West
2.5,33000000,Kathmandu,kathmandu ward 4 office,12,1437.45,3,4,North
1,17200000,Kathmandu,"Khahare, Kadaghari, Nearby Aksharaa School",10,1026.75,5,1,South
1,12500000,Kathmandu,Kharibot,13,1026.75,2,1,South
2,96000000,Kathmandu,Khusibu,12,4107,3,3,South
4,105000000,Kathmandu,Khusibu Townplanning,16,2417.14,8,5,South
2.5,42000000,Kathmandu,"Kohinoor housing, Bafal",14,1369,4,3,South
3.5,41500000,Kathmandu,Koteshwor,10,1026.75,1,4,East
3.5,65000000,Kathmandu,Koteshwor,16,3148.7,6,3,South east
2.5,160000000,Kathmandu,Koteswore Mahadevsthan,20,5818.25,6,4,East
3,150000000,Kathmandu,Kupondole,16,7529.5,6,5,North
1,12700000,Kathmandu,"Lambagar, Sesmati",10,1026.75,3,1,North
4,38000000,Kathmandu,Maharajgunj,12,1711.25,8,4,West
2.5,48000000,Kathmandu,Maharajgunj,10,2738,7,5,South
2.5,65000000,Kathmandu,Maharajgunj,14,2844.95,8,5,East
2.5,105000000,Kathmandu,"Maharajgunj, Kathmandu",10,3764.75,4,4,East
2.5,28000000,Kathmandu,Makalbari,10,1369,5,4,South
2.5,21000000,Kathmandu,Malpot-Chowk,18,2004.75,5,4,East
2.5,23000000,Kathmandu,Man B Marga,12,1197.875,3,4,East
2.5,27000000,Kathmandu,Man b marga,13,1369,5,5,East
2.5,16000000,Kathmandu,Manamaiju,10,1069.53,5,2,East
2.5,22000000,Kathmandu,Mandikataar,12,1048.14,5,5,East
2.5,28000000,Kathmandu,Mandikataar,13,1711.25,6,4,East
3,69999999,Kathmandu,Mandikatar,15,4449.25,5,5,East
3.5,16000000,Kathmandu,mulpani,10,1000,4,3,East
2.5,24500000,Kathmandu,Mulpani,10,1369,6,3,East
2.5,26000000,Kathmandu,Naikap,13,1369,3,3,East
2.5,27500000,Kathmandu,Naikap,13,1369,6,5,East
2.5,27500000,Kathmandu,Naikap,13,1369,5,3,South east
4,78000000,Kathmandu,Naksal,16,1711.25,8,5,North east
7,3150000000,Kathmandu,Naranthan,13,1369,3,5,East
3,100000000,Kathmandu,narayan than,16,6845,5,5,South
3,100000000,Kathmandu,narayan than,16,6845,5,5,South
2.5,22000000,Kathmandu,Narayanthan,13,1369,6,4,East
2.5,45000000,Kathmandu,Narayanthan,20,1500,5,5,East
2.5,72000000,Kathmandu,Narayanthan,16,4107,5,5,South east
2.5,72000000,Kathmandu,Narayanthan,14,4449.25,5,4,South east
2.5,100000000,Kathmandu,Narayanthan,16,6160.5,6,5,South east
2.5,100000000,Kathmandu,Narayanthan,16,6160.5,5,5,East
1,27000000,Kathmandu,"Narephat, Jadibuti",28,855.625,1,1,East
4,78000000,Kathmandu,Naxal,15,1604.29,8,5,East
2.5,38500000,Kathmandu,Nayabasti,20,1433.17,6,5,East
2,23500000,Kathmandu,nayabasti,10,1711.25,1,1,South
3.5,35500000,Kathmandu,Nayabasti,12,1903.76,7,5,East
3,35000000,Kathmandu,Nayabazar geetanjali chowk,20,884.04,3,4,East
2,22500000,Kathmandu,Nayapati,20,1711.25,4,3,East
2.5,32000000,Kathmandu,Near BP Meusem,32,3080,1,2,South east
2.5,26000000,Kathmandu,Near Grande Hospital,13,1048.14,3,4,West
3,32000000,Kathmandu,near New buspark,20,1437.45,8,5,East
4,28000000,Kathmandu,Near Rave Futsal Center,25,1048.14,8,3,South
2.5,160000000,Kathmandu,New Baneshwor,32,6160.5,4,3,South
3.5,200000000,Kathmandu,Old Baneshwor Height,20,6502.75,8,5,West
2.5,26500000,Kathmandu,on the way to cable car,10,1711.25,6,3,West
2.5,25000000,Kathmandu,pabitra basti sanobharang,10,900,5,3,East
2,26000000,Kathmandu,Panchakanya Marga Kapan near Nabil Bank,10,1625.68,2,2,North
2.5,32000000,Kathmandu,Panchetaar,20,1625.6875,5,4,East
3.5,13500000,Kathmandu,Panga,10,1026.75,4,3,South
3.5,67500000,Kathmandu,Panipokhari Heights,20,1693.2724,4,1,North
1,27500000,Kathmandu,"Paradise Colony, Bhangal",13,1197.87,3,3,South east
3,76000000,Kathmandu,Park Village Resort,12,3600,2,1,West
4,23000000,Kathmandu,Pasikot,13,350.8,1,5,South
3,22500000,Kathmandu,Pasikot,15,1197.87,6,5,South east
2.5,31000000,Kathmandu,Pasikot,12,1411.78,5,2,South east
2.5,34000000,Kathmandu,Pasikot,14,1754.03,5,5,East
2.5,32500000,Kathmandu,Pasikot,14,1754.03,6,5,East
2.5,32000000,Kathmandu,Pasikot,20,1882.375,4,5,North
2.5,32000000,Kathmandu,Pasikot,13,2053.5,5,4,South east
2.5,42500000,Kathmandu,Pasikot,15,2738,4,5,North east
2.5,36000000,Kathmandu,Pasikot height,13,1711.25,6,5,North east
2.5,25000000,Kathmandu,Phutung,12,1497.34,5,4,East
5,120000000,Kathmandu,Putalisadak,20,1155.09,10,6,west
3.5,33000000,Kathmandu,"Rudranagar Marg, Battisputali",20,1540.125,6,1,West
2.5,42500000,Kathmandu,Rudreshwor,13,2738,5,5,East
2.5,48000000,Kathmandu,Rudreshwor,16,2738,4,3,north east east
3,45000000,Kathmandu,Rudreshwor,20,2738,5,5,East
2.5,55000000,Kathmandu,Rudreshwor,20,3080.25,4,5,South east
3,85000000,Kathmandu,Rudreshwor,13,3764.75,7,5,South
2.5,50000000,Kathmandu,Rudreshwor,12,4107,7,5,East
2.5,105000000,Kathmandu,Rudreshwor,25,10952,5,5,North west
2.5,34500000,Kathmandu,Samakhusi,13,1026.75,4,4,East
2.5,32000000,Kathmandu,Samakhusi,13,1369,6,5,East
2,32000000,Kathmandu,Samakhusi,16,1369,6,4,East
5,92500000,Kathmandu,Samakhusi,20,2000,12,5,East
6,90000000,Kathmandu,Samakhusi,25,2053.5,8,5,South west
2.5,55000000,Kathmandu,Samakhusi,20,2395.75,6,5,East
5,160000000,Kathmandu,Samakhusi,20,5476,5,3,West
2.5,45000000,Kathmandu,Samakhusi Chowk,10,1711.25,7,4,East
2.5,29000000,Kathmandu,San-Bharyang,20,1732.64,7,4,West
2.5,77000000,Kathmandu,Sanepa,13,3080.25,6,4,East
4.5,85000000,Kathmandu,Sanobharyang,16,2780.78,7,5,West
2.5,22500000,Kathmandu,Satungal,16,1732.64,4,3,east
4,45000000,Kathmandu,Seti opi marga,20,1540.125,8,5,East
4.5,27000000,Kathmandu,Shankhamul,20,855.625,3,1,West
2.5,57500000,Kathmandu,Siddhartha colony,20,2395.75,4,5,South
2.5,59000000,Kathmandu,Siddhartha Colony,20,2459.92,4,5,South east
3,15500000,Kathmandu,sitapaila,13,855.625,5,3,South
2.5,17000000,Kathmandu,Sitapaila,15,1048.14,4,2,east
2.5,27500000,Kathmandu,Sitapaila,12,1090.92,4,4,North east
2.5,14500000,Kathmandu,Sitapaila,10,1095.2,3,3,East
2.5,17500000,Kathmandu,Sitapaila,16,1112.3125,5,4,North
2,16000000,Kathmandu,Sitapaila,8,1200,3,2,North
2.5,25300000,Kathmandu,Sitapaila,13,1390.39,5,5,East
2.5,35500000,Kathmandu,Sitapaila,10,1500,6,4,East
2.5,27000000,Kathmandu,Sitapaila,13,1540.125,5,4,North
2.5,29000000,Kathmandu,Sitapaila,10,1711.25,4,4,West
2.5,30500000,Kathmandu,Sitapaila,18,2395.75,6,5,east
2.5,16000000,Kathmandu,Sukedhara,20,1026.75,6,3,East
2,49500000,Kathmandu,Sukedhara,12,1369,1,3,North
2.5,35000000,Kathmandu,Sukedhara,13,1369,6,4,East
2,26000000,Kathmandu,Sukedhara,15,1604.29,6,4,East
2.5,29800000,Kathmandu,Sukedhara,13,1711.25,5,5,West
2.5,31800000,Kathmandu,Sukedhara,13,1754.03,5,5,south east
3.5,35000000,Kathmandu,Sukedhara,12,2010.71,9,4,north east east
2.5,42000000,Kathmandu,Sukedhara,13,2053.5,5,5,East
2.5,42500000,Kathmandu,Sukedhara,25,2053.5,5,4,East
2.5,45000000,Kathmandu,Sukedhara,12,2395.75,5,3,East
2.5,70000000,Kathmandu,Sukhedhara,12,2395.75,4,3,East
3.5,47500000,Kathmandu,Swayambhu,13,1711.25,8,5,East
3.5,30000000,Kathmandu,Syuchatar,10,1540.125,1,5,East
2.5,25500000,Kathmandu,Syuchatar,10,1925.15,4,2,West
3,45000000,Kathmandu,Syuchatar,20,3764.75,7,4,East
2,15500000,Kathmandu,Tahachal,8,1176.48,1,1,East
3,39500000,Kathmandu,Tahachal,10,1540.125,1,1,East
2.5,52500000,Kathmandu,Tahachal,8,2074.89,1,1,East
1,12000000,Kathmandu,"Tarkeshwor-04, Sesmati",3,1647.07,1,1,West
4.5,38000000,Kathmandu,tarksewor,13,1369,12,5,North east
2.5,30000000,Kathmandu,"Taukhel, Godawari",6,1540.125,5,5,East
2.5,58000000,Kathmandu,Taulung,20,2224.625,5,5,South east
2.5,34500000,Kathmandu,Taulung,20,2395.75,4,4,East
4,16000000,Kathmandu,Teku,13,3764.75,1,1,North
2,9100000,Kathmandu,Thali milan chowk,10,900,3,2,West
3.5,14500000,Kathmandu,Thankot,6,1000,5,3,North west
1,9500000,Kathmandu,Thankot,13,1155.09,2,1,East
2.5,42900000,Kathmandu,Thankot,22,4107,8,5,East
1,18500000,Kathmandu,Thankot,10,3080.25,4,1,West
3.5,120000000,Kathmandu,Tinkune,20,4107,8,5,South
3,32500000,Kathmandu,Tinthana,16,1500,8,4,East
2.5,26000000,Kathmandu,Tokha,20,1500,5,4,East
1,12500000,Kathmandu,Townplanning,8,855.625,2,1,South
2.5,32000000,Kathmandu,Tribhuwan Park,20,2053.5,5,4,East
2.5,26000000,Kathmandu,"Tribhuwan Park , Thankot",13,1369,5,4,North east
1,12500000,Lalitpur,Badikhel,16,1711.25,3,1,West
1,12500000,Lalitpur,badikhel,16,1711.25,3,1,West
3.5,22500000,Lalitpur,Balkumari,13,1026.75,7,1,West
5,14000000,Lalitpur,Banglamukhi,5,1112.31,3,2,West
2,11000000,Lalitpur,Bhainsepati,40,1026.75,3,2,South east
2.5,38500000,Lalitpur,Bhaisepati,16,1060.975,4,4,East
2.5,29500000,Lalitpur,Bhaisepati,20,1369,4,4,East
2.5,31000000,Lalitpur,Bhaisepati,18,1369,4,5,South east
2.5,28500000,Lalitpur,Bhaisepati,13,1411.78,6,4,East
3,35000000,Lalitpur,Bhaisepati,20,1411.78,5,4,South east
2.5,37000000,Lalitpur,Bhaisepati,16,1711.25,4,4,East
2.5,44000000,Lalitpur,Bhaisepati,13,1711.25,1,1,South east
2.5,69500000,Lalitpur,Bhaisepati,20,2121.95,6,3,South east
2.5,50000000,Lalitpur,Bhaisepati,16,3422.5,5,3,East
2.5,18000000,Lalitpur,Changathali,13,1026.75,4,3,North west
2.5,30000000,Lalitpur,Chapagaun,14,1711.25,5,3,South west
3,23500000,Lalitpur,Chasidol,13,1390.39,6,3,West
3.5,33500000,Lalitpur,Chokhel,12,1711.25,8,4,East
3.5,33500000,Lalitpur,Chokhel Sunakothi,12,1711.25,8,4,East
3,10500000,Lalitpur,Dadathok,13,919.79,3,2,West
1,7500000,Lalitpur,Dadathok,13,1026.75,2,1,North
2.5,19800000,Lalitpur,Dhapakhel,20,1026.75,4,3,South
3.5,35000000,Lalitpur,Dhapakhel,13,1796.81,12,7,East
2.5,46000000,Lalitpur,Dhapakhel,30,3123.03,5,3,East
2.5,110000000,Lalitpur,Dhobighat,16,6845,4,2,south east
1,10500000,Lalitpur,Gahate,20,1026.75,1,1,North east
3.5,60000000,Lalitpur,Gwarko,10,2909.125,12,6,East
2.5,22000000,Lalitpur,Harisiddhi,20,1369,5,5,City
2.5,40000000,Lalitpur,Harisiddhi,12,2738,8,5,East
3,25000000,Lalitpur,Hattiban,20,700,6,3,North east
3,16000000,Lalitpur,Hattiban,20,1026.75,1,1,East
2.5,23500000,Lalitpur,Hattiban,13,1197.87,5,3,South
2.5,50000000,Lalitpur,Hattiban,20,1200,4,3,North
3,26500000,Lalitpur,Hattiban,13,1380,6,5,East
3.5,28700000,Lalitpur,Hattiban,13,1403.225,6,5,South
2.5,29000000,Lalitpur,Hattiban,12,1882.375,4,4,North
1,26800000,Lalitpur,Hattiban,14,3165.81,3,1,East
1.5,16000000,Lalitpur,Imadol,13,500,2,2,South west
3.5,25000000,Lalitpur,Imadol,10,898.44,6,3,East
2.5,19500000,Lalitpur,Imadol,13,900,5,5,East
1,12500000,Lalitpur,Imadol,20,941.1875,2,1,east
2.5,16000000,Lalitpur,Imadol,12,1026.75,5,3,East
2.5,17000000,Lalitpur,Imadol,10,1026.75,5,4,east
2.5,19000000,Lalitpur,Imadol,13,1026.75,4,3,South
1,13700000,Lalitpur,Imadol,13,1026.75,2,1,East
2.5,23500000,Lalitpur,Imadol,13,1026.75,5,4,East
2.5,20000000,Lalitpur,Imadol,13,1026.75,4,4,North
2.5,23000000,Lalitpur,Imadol,13,1026.75,4,4,West
2.5,23500000,Lalitpur,Imadol,13,1026.75,4,4,East
2,15000000,Lalitpur,Imadol,4,1026.75,4,4,South
3,24500000,Lalitpur,Imadol,13,1048.14,4,5,East
2.5,22000000,Lalitpur,Imadol,13,1048.14,4,3,East
2.5,19000000,Lalitpur,Imadol,14,1090.92,4,3,East
1,16000000,Lalitpur,Imadol,13,1112.31,2,2,East
2.5,24000000,Lalitpur,Imadol,13,1112.31,4,3,East
2.5,25000000,Lalitpur,Imadol,13,1112.31,7,4,North
2.5,22000000,Lalitpur,Imadol,16,1112.31,4,4,North east
3,34000000,Lalitpur,Imadol,13,1197.875,6,4,East
3,25000000,Lalitpur,Imadol,20,1200,5,3,East
2.5,19500000,Lalitpur,Imadol,16,1200,5,3,West
2.5,42500000,Lalitpur,Imadol,20,1326.21,4,4,South east
2.5,32500000,Lalitpur,Imadol,13,1369,5,4,North
2.5,36000000,Lalitpur,Imadol,20,2395.75,5,2,North east
2.5,20000000,Lalitpur,Imadol,13,1026.75,4,3,East
2.5,18500000,Lalitpur,Imadol,13,1026.75,4,3,South
2.5,24000000,Lalitpur,Imadol highway near 50m,13,1048.14,4,3,East
2.5,25000000,Lalitpur,Imadol highway near 50m,12,1112.31,2,3,East
2.5,27000000,Lalitpur,Imadol Nayabasti,13,1197.87,6,4,North east
2.5,25000000,Lalitpur,"Imadol, Highwau Near 50 meter",13,1069.53,4,3,South east
