Address,Area(In Sq.Feet),Road,Price(Float),Bedroom,Bathroom,Face,Floors,City
Near shree narayan school,1625.68,13,14000000,2,1,North,1,Lalitpur
Near sun city apartment,941.18,23,23000000,2,3,East,2.5,Kathmandu
Budhanilkantha,1925.15,21,32000000,6,4,North East,2.5,Kathmandu
Om chowk,983.96,13,14500000,4,3,West,2.5,Kathmandu
Paiyatar,1026,13,17500000,11,9,South East,3,Kathmandu
Palden plotting,1497.34,13,25000000,11,4,South East,3.5,Kathmandu
Pasikot,1369,13,24500000,6,5,South East,2.5,Kathmandu
Pepsicola,1133.7,20,22000000,6,4,West,2.5,Kathmandu
Ramkot,1369,16,16800000,5,2,West,2.5,Kathmandu
Ranjit colony,1925.15,11,45000000,7,9,East,3.5,Kathmandu
Sainbu,1967.93,16,47500000,7,8,North East,3.5,Kathmandu
Sainbu,1026.75,13,25000000,5,5,East,3.5,Lalitpur
Sallaghari,1026.75,12,23500000,13,7,East,4.5,Bhaktapur
Samakhushi,2566.87,26,52500000,10,7,North West,4.5,Kathmandu
Sanagau,962.57,13,13500000,5,3,West,2.5,Lalitpur
Sanepa,1711.25,13,63500000,5,6,North East,2.5,Lalitpur
Sano thimi,1240.65,10,19000000,10,4,East,3.5,Bhaktapur
Sanobharyang,1903.76,20,42500000,6,7,South West,3.5,Kathmandu
Satdobato,2053.5,10,25000000,5,3,North,2.5,Lalitpur
Sattalle,1796.81,12,25000000,4,2,North,2.5,Kathmandu
Sheetal tole,1197.87,13,19000000,5,3,South,2.5,Lalitpur
Shivachowk,1882.37,14,35000000,12,8,South West,4,Kathmandu
Sitapaila,1283.43,13,21500000,4,4,East,2.5,Kathmandu
Sitapaila,1818.2,16,31500000,6,5,East,2.5,Kathmandu
Sitapaila ramkot,1347.6,10,17500000,3,3,South West,2.5,Kathmandu
Sunakothi,1711.25,13,22500000,3,3,South East,2.5,Lalitpur
Sunakothi,2053.5,13,35000000,3,3,South East,2.5,Lalitpur
Sunakothi,2053.5,20,36000000,3,3,West,2.5,Lalitpur
Swyambhu,1475.95,28,28500000,5,7,North East,3.5,Kathmandu
Syuchatar,1882.37,10,22500000,5,3,East,2.5,Kathmandu
Tathali,7529.5,33,34000000,7,3,South,2.5,Bhaktapur
Thankot,1026.75,16,13500000,3,2,South,1,Kathmandu
Thankot,1882.37,10,30000000,8,3,South East,2.5,Kathmandu
Thulo bharyang,855.62,12,19900000,5,3,South West,2.5,Kathmandu
Town planning,1711.25,14,45000000,7,6,East,3.5,Kathmandu
Tushal,1711.25,15,29500000,5,4,East,2.5,Kathmandu
